depth,T_ice
0.18475212,-2.3833008
0.3487967,-1.9440613
0.49535152,-1.9873657
0.6383185,-1.9483948
0.7808825,-2.095337
0.93097955,-2.5297241
1.0813869,-3.2461853
1.3555628,-4.3598022
1.5168426,-5.531769
1.6484406,-6.340332
1.7743586,-7.077606
1.9002407,-7.764679
2.1846313,-8.693665
2.3424196,-9.504089
2.480403,-9.983582
2.6257205,-10.415283
2.9696379,-11.003601
3.1294155,-11.463226
3.2550855,-11.724457
3.384554,-11.952057
3.5103278,-12.156494
3.7572703,-12.430023
3.9582267,-12.663208
4.262091,-12.861938
4.392324,-13.002747
4.5041075,-13.080658
4.611088,-13.148621
4.795823,-13.224121
5.06437,-13.303528
5.1774297,-13.351715
5.2852817,-13.382172
5.3868237,-13.4086
5.483895,-13.431641
5.648052,-13.458618
5.7447376,-13.480774
5.968091,-13.501343
6.2401986,-13.518951
6.3931775,-13.526184
6.519851,-13.529388
6.9860005,-13.532257
7.3199887,-13.524048
7.428788,-13.515747
7.529024,-13.511383
7.734518,-13.50528
7.838984,-13.498749
8.112333,-13.48941
8.292996,-13.478241
8.484542,-13.469818
8.659331,-13.463562
8.772557,-13.459717
8.871269,-13.456665
8.971335,-13.4539795
9.160298,-13.451263
9.281002,-13.449432
9.397194,-13.448303
9.507736,-13.447693
9.742707,-13.447449
9.853971,-13.4487
10.085709,-13.450531
10.223412,-13.453918
10.332316,-13.457001
10.439712,-13.460327
10.560048,-13.464172
10.810655,-13.470764
10.947409,-13.479034
11.499048,-13.494568
11.636459,-13.515411
11.748983,-13.523895
12.179572,-13.544373
12.633556,-13.578918
14.141411,-13.665649
14.403771,-13.752686
15.09908,-13.791748
15.486614,-13.839691
16.265987,-13.897827
17.075106,-13.967224
17.616852,-14.016968
18.382608,-14.060211
19.401688,-14.108368
21.786833,-14.183563
22.728691,-14.219879
26.007404,-14.253693
27.012678,-14.253967
27.838606,-14.250519
29.024044,-14.2439575
31.046412,-14.227905
36.687042,-14.1727295
41.0246,-14.054565
44.406277,-13.940399
48.02704,-13.822632
53.518387,-13.649841
56.132053,-13.467926
61.753357,-13.282166
65.568535,-13.042999
69.38138,-12.837769
73.191605,-12.613861
76.999245,-12.37439
80.9922,-12.126953
84.9839,-11.874268
89.30872,-11.607544
