depth,density_bulk
0.2722965,377.4021
0.4228867,332.5827
0.57147735,338.1881
0.71774554,342.67154
0.862294,346.35834
1.0055121,349.57498
1.1473639,352.58026
1.2880636,355.4627
1.5145253,361.44836
2.0861907,444.42715
2.217636,398.2054
2.34529,392.34763
2.4723954,395.76343
2.5978491,398.88403
2.7224429,401.77594
2.8463037,404.54337
2.969224,407.21228
3.092438,409.8488
3.2147665,412.5832
3.3565323,595.3678
3.496146,501.73145
3.643121,530.9685
3.768354,471.5465
4.5060344,492.8637
4.61717,451.59732
4.7278776,453.623
4.8376875,455.54642
4.947317,457.4074
5.0561895,459.21762
5.1647696,460.9835
5.272939,462.72516
5.585424,489.15256
5.703626,511.51166
5.8209653,515.12695
5.9353456,510.9806
6.165515,515.8225
6.275868,504.1175
6.4706197,496.33765
6.5980577,515.4614
6.7062616,507.43817
6.808777,488.24066
6.9112415,489.6392
7.013146,490.98627
7.1152306,492.28683
7.217119,493.552
7.3193994,494.78357
7.420234,495.98
7.5208125,497.1454
7.6216707,498.29385
7.7218733,499.4265
7.822103,500.5424
8.105868,606.06934
8.20999,525.2526
8.308692,507.09155
8.407224,508.17545
8.699276,547.0611
8.797011,512.785
8.89441,513.8475
9.088405,515.39606
9.185208,516.87787
9.281915,517.8437
9.378411,518.8056
9.588279,539.0596
9.6853485,522.08075
9.781156,523.0418
9.876594,523.96796
9.972047,524.8728
10.0679455,525.7713
10.327643,548.6001
10.4222975,529.24927
10.986933,532.2442
11.102848,553.2902
11.292916,598.6181
12.126996,541.2565
12.298433,599.33527
17.603672,596.62286
22.78203,601.57
23.817867,634.6785
24.869593,670.6751
27.425959,636.18317
28.225576,667.7176
30.030107,641.106
30.667408,659.93414
31.4422,645.2322
32.367855,648.08575
33.391754,652.10693
34.441917,655.1273
48.917095,685.02405
52.90255,711.3326
56.64009,725.32666
60.169952,727.1781
64.3052,770.26624
68.43668,770.96625
72.258,812.855
76.078705,812.9852
79.89798,813.29004
83.71682,813.38275
88.793755,853.07465
93.86975,853.2324
96.045746,873.48315
