depth,density_bulk
0.30347046,367.6523
0.45390338,333.41553
0.6020125,338.90408
0.74763227,343.32697
0.891767,346.9951
1.0346713,350.1964
1.1771178,353.19492
1.3186779,356.1055
1.4589391,359.16174
1.5974071,362.53403
2.1472747,442.0631
2.2830954,414.94342
2.4104774,392.94818
2.5374823,396.42767
2.6628938,399.607
2.7871523,402.538
2.9107225,405.2878
3.033483,407.9193
3.1553218,410.46494
3.279274,413.0199
3.3997061,415.6554
3.5888884,562.064
3.726337,502.85883
3.8656628,516.0813
3.9985752,500.67175
4.2483206,482.28015
4.3616614,442.90958
4.5798287,514.8231
4.7398343,459.49124
4.8504224,453.62952
4.960143,455.63477
5.069517,457.51917
5.178397,459.32135
5.2875633,461.07327
5.3959556,462.79056
5.50378,464.4689
5.611146,466.12543
5.9803424,480.42758
6.0983887,517.74506
6.2131877,514.374
6.3269906,515.20526
6.5555916,519.07306
6.666441,511.71466
6.872545,495.97083
7.0682626,513.3227
7.170574,490.68747
7.2727504,492.0372
7.375132,493.34363
7.4766884,494.6035
7.577614,495.81735
7.6794767,497.00034
7.779877,498.15466
7.880106,499.2763
7.9811897,500.38297
8.081695,501.4765
8.181791,502.55173
8.281548,503.6109
8.614372,594.73694
8.713473,512.5876
8.811668,510.26685
8.909467,511.29025
9.289252,545.6415
9.38603,516.59595
9.482675,517.5786
9.579236,518.5358
9.675725,519.4693
9.772563,520.38715
9.868523,521.2937
10.185919,536.20135
10.281624,525.4021
10.376717,526.29126
10.47163,527.1539
10.566559,528.0005
10.661457,528.83966
10.7558565,529.6745
10.862757,571.4583
10.95702,531.5636
11.050944,532.40344
17.56497,586.3391
21.91548,606.5417
28.886774,620.5525
33.08445,648.40094
34.165638,647.33264
37.83572,654.86176
60.76442,689.20575
64.341194,716.11896
71.020096,729.9191
74.72247,732.7742
78.68893,734.80585
82.9358,736.91254
86.25785,771.64685
89.57742,772.2216
94.3302,783.93823
99.19989,818.92737
104.40326,819.3526
109.956184,819.8037
115.626434,856.16296
118.598335,856.3254
121.59698,875.5769
124.689354,875.652
