depth,dgrain
0.1587619,0.39751503
0.31534255,0.6288872
0.469998,0.8961105
0.6225364,0.95331776
0.7726408,1.0871674
0.92049223,1.1533483
1.0691078,1.1891655
1.2123475,1.2631149
1.3533643,1.3347982
1.4920763,1.3849223
1.6287916,1.4448621
1.7635367,1.4757175
1.8964859,1.5200768
2.0278695,1.567368
2.1579118,1.6169741
2.286308,1.6507535
2.5237205,1.6847651
2.648292,1.7520438
2.7717953,1.7834815
2.8940341,1.8193154
3.0152223,1.8438957
3.1353836,1.8721159
3.254617,1.9013376
3.372958,1.9215311
3.4904757,1.9503351
3.6073549,1.9721093
3.7233527,2.000013
3.8385804,2.027138
3.9532185,2.044774
4.067068,2.0593686
4.180327,2.0956829
4.292975,2.1068778
8.8435335,2.5027075
8.939974,2.831363
9.0364065,2.8461714
9.13243,2.8562717
9.228247,2.8723228
9.32389,2.8829613
9.4192915,2.890635
9.514677,2.9043465
9.609848,2.9113233
9.704665,2.9342282
9.799292,2.9342282
9.893731,2.9412913
9.987989,2.959349
10.082066,2.9649823
10.175965,2.9808016
10.26969,2.990126
10.363241,2.9955752
10.456623,3.0073764
10.549834,3.0206003
10.6428795,3.0312915
10.735759,3.044363
10.828476,3.051342
10.921034,3.0616322
11.013433,3.074019
11.105677,3.0873535
11.197749,3.0967822
11.289662,3.106707
11.381424,3.1264174
11.473035,3.135622
11.655814,3.1505938
11.746987,3.1574416
11.8380165,3.1771305
11.928906,3.1844544
12.019657,3.1949039
12.114121,3.2030365
12.219515,3.2133257
12.336623,3.2240434
12.609125,3.243499
12.766173,3.2633297
12.9382305,3.2779093
15.299963,3.3869715
16.070738,3.4999783
16.938498,3.5913548
17.91167,3.6970727
19.00217,3.792665
20.213778,3.8881025
22.279894,3.9576557
24.673273,3.991657
26.444397,3.9845788
27.374756,3.9845788
28.362652,3.9845788
29.384071,3.9845788
30.465523,3.9845788
31.59025,3.9845788
33.952827,3.9845788
35.21163,3.9845788
43.64987,3.9845788
46.908875,3.9845788
53.728294,3.9845788
59.37998,3.9845788
63.445854,3.9845788
67.646286,3.9845788
74.38526,3.9845788
81.70508,3.9845788
86.97857,3.9845788
92.60218,3.9845788
98.59147,3.9845788
101.7281,3.9845788
