depth,snowc
0.26766327,0.05611789
0.41940176,0.050941985
0.5519313,0.050504226
0.6810871,0.050671633
0.80259013,0.05000562
0.9244091,0.050624702
1.0452386,0.05162014
1.1634964,0.050717868
1.283201,0.05055443
1.400157,0.051193263
1.5238786,0.050472744
1.6520579,0.05025385
1.7695999,0.050083134
1.8888738,0.051984273
2.0033853,0.050056547
2.1212778,0.051662017
2.236516,0.050671816
2.34992,0.05008833
2.4628692,0.05006176
2.5761318,0.05047982
2.979404,0.14802887
3.1272852,0.05014282
3.249984,0.05047823
3.3715765,0.050155096
3.4853704,0.050021395
3.5961022,0.050004393
3.7132742,0.050237432
3.8296185,0.050301325
3.9450126,0.050696164
4.0568085,0.050649397
4.165142,0.050210487
4.2760644,0.050014865
4.3820124,0.051187437
4.4869523,0.05081206
4.5962687,0.051050246
4.699518,0.050056275
4.800718,0.0500513
4.902959,0.050074376
5.0032883,0.05011593
5.102805,0.050120536
5.2031546,0.05040505
5.303131,0.050668232
5.4029427,0.050480623
5.50209,0.05046276
5.6011124,0.05013432
5.944358,0.14086609
6.0509973,0.050720107
12.58314,3.3733068
19.10484,3.3733068
19.431913,0.15204652
19.52727,0.050188843
19.622528,0.05081768
20.808723,0.7062406
21.297844,0.27772924
21.452568,0.041432608
21.549665,0.05071059
21.812994,0.15099876
21.898817,0.050249796
21.976063,0.050310455
22.05272,0.0501574
22.129131,0.05001969
22.205532,0.05003459
22.282328,0.050314233
22.36035,0.05113984
22.437723,0.050737757
25.047146,1.4743251
27.645828,1.4743251
32.795956,2.9486501
36.092487,1.9005253
40.17992,2.411372
44.260086,2.411372
49.130306,2.9222186
52.39657,2.0079534
55.66094,2.0079534
60.989723,3.2345371
65.77489,3.1714692
70.54481,3.1714692
76.6273,4.2601767
81.659035,3.8980253
84.75907,2.4100492
87.81959,2.399186
90.87733,2.399186
94.23715,2.6463697
98.27703,3.2024264
102.78004,3.59052
106.05167,2.61768
109.56131,2.81256
113.31557,3.02088
117.339005,3.24264
121.64483,3.47784
126.24826,3.72648
131.17075,3.98856
136.42073,4.26408
139.21675,2.27652
142.01082,2.27652
144.98431,2.42772
147.95534,2.42772
151.05795,2.54532
154.24644,2.62596
157.52692,2.70828
