depth,dgrain
0.15238972,0.3922104
0.3378,0.86368656
0.48397815,0.95593095
0.6247091,1.0303085
0.75485677,1.122973
0.88251907,1.1337512
1.0118697,1.0843138
1.1454482,1.0257243
1.2829328,0.95406145
1.4153612,0.9180871
1.5398191,0.90965295
1.6726235,0.8652741
1.8034842,0.8010344
1.9306899,0.78627473
2.0556226,0.8176977
2.1804256,0.8306542
2.3062835,0.8429297
2.4334962,0.8440842
2.5562134,0.8689555
2.6785243,0.8893002
2.8016713,0.89163107
2.922917,0.8942801
3.0448968,0.89574504
3.380329,0.92210555
3.5320373,1.164359
3.6589837,1.1850406
3.7859468,1.2179631
3.9143012,1.2160544
4.0305314,1.2296419
4.152032,1.2411999
4.2667146,1.250209
4.3793626,1.2659675
4.7271852,1.2736847
4.849786,1.1956576
4.965514,1.1520739
5.304078,1.0974457
5.409527,1.093828
5.5163164,1.1123197
5.6229153,1.1154879
5.7297754,1.1169713
5.8340383,1.1213977
5.938431,1.1259979
6.046294,1.1291358
6.150775,1.130354
6.254356,1.1328969
6.3588715,1.1466938
6.5494056,1.1577855
6.781201,1.2380625
6.910244,1.2681906
7.023022,1.2498171
7.3448234,1.2634587
7.445287,1.2582605
7.544971,1.2601662
7.644825,1.2641255
7.7452354,1.2678958
7.849645,1.2688622
7.94854,1.273148
8.0481415,1.2764693
8.147705,1.2821692
8.247715,1.2826687
8.3461485,1.2866504
8.44445,1.2905549
8.545089,1.2912766
8.643565,1.2937175
8.741286,1.2946107
8.838609,1.3084303
9.241763,1.3847367
9.361598,1.5255709
9.474312,1.5424703
9.582968,1.5593826
11.12779,1.5171824
11.4070425,1.4328829
11.851094,1.4582709
11.958751,1.5772101
12.065643,1.5950675
13.965789,1.6706252
14.585867,1.5799402
15.567773,1.6668348
16.525581,1.6387919
19.637615,1.7971799
25.676065,1.8942128
30.080923,2.0891008
47.99042,2.3854399
53.701416,2.5602493
60.23916,2.6981857
66.75744,2.6981857
73.25972,2.6981857
80.95096,3.286044
88.60048,3.286044
95.59067,3.3398678
103.109344,3.363816
107.182526,3.363816
111.24679,3.363816
115.04129,3.363816
118.83152,3.363816
122.616714,3.363816
126.396385,3.363816
130.37527,3.363816
134.35094,3.363816
138.65965,3.363816
