depth,rhofirn
0.15238972,320.91135
0.3378,364.81717
0.48397815,384.26697
0.6247091,399.33347
0.75485677,413.7892
0.88251907,421.23273
1.0118697,421.81113
1.1454482,420.4095
1.2829328,416.31555
1.4153612,415.72806
1.5398191,416.61948
1.6726235,411.77985
1.8034842,403.27222
1.9306899,400.85892
2.0556226,401.738
2.1804256,402.83032
2.3062835,404.16315
2.4334962,405.73666
2.5562134,407.52246
2.6785243,409.54074
2.8016713,411.8314
2.922917,414.3773
3.0448968,417.16656
3.380329,424.34882
3.5320373,439.33832
3.6589837,446.0837
3.7859468,451.95062
3.9143012,456.26495
4.0305314,460.9295
4.152032,464.79688
4.2667146,468.4241
4.3793626,472.05878
4.7271852,477.60336
4.849786,476.59158
4.965514,475.34995
5.304078,474.04718
5.409527,475.5484
5.5163164,476.57672
5.6229153,477.6309
5.7297754,478.69965
5.8340383,479.77097
5.938431,480.83987
6.046294,481.94336
6.150775,483.06683
6.254356,484.18246
6.3588715,485.32608
6.5494056,487.02097
6.781201,490.93903
6.910244,494.67548
7.023022,496.23392
7.3448234,498.92
7.445287,500.97525
7.544971,502.07083
7.644825,503.14673
7.7452354,504.2118
7.849645,505.2876
7.94854,506.3453
8.0481415,507.37134
8.147705,508.39752
8.247715,509.42444
8.3461485,510.44476
8.44445,511.45483
8.545089,512.47577
8.643565,513.4976
8.741286,514.50415
8.838609,515.5094
9.241763,519.0837
9.361598,524.00055
9.474312,526.03577
9.582968,527.9213
11.12779,537.2081
11.4070425,543.20264
11.851094,546.2408
11.958751,549.5485
12.065643,550.80585
13.965789,561.598
14.585867,569.3844
15.567773,575.2562
16.525581,580.2189
19.637615,591.66016
25.676065,610.3968
30.080923,629.4479
47.99042,663.8372
53.701416,683.51526
60.23916,696.46716
66.75744,698.81354
73.25972,700.7548
80.95096,721.20465
88.60048,725.2267
95.59067,736.0904
103.109344,751.1622
107.182526,782.0024
111.24679,783.71893
115.04129,818.5989
118.83152,819.5211
122.616714,820.6125
126.396385,821.8108
130.37527,856.898
134.35094,857.5928
138.65965,868.86957
