depth,dgrain
0.19618645,0.6082327
0.35561728,0.763372
0.50620264,0.81618226
0.6515151,0.8102563
0.7895497,0.8430123
0.9257498,0.85147214
1.061142,0.85813695
1.2014039,0.905283
1.4114661,0.94362086
1.5694402,1.1278573
1.71382,1.1917232
1.8417908,1.211007
1.9693676,1.2438534
2.0908399,1.2623014
2.2110643,1.2879385
2.3345,1.3125609
2.6626768,1.3461742
2.863106,1.3654575
2.9936116,1.4886445
3.2452917,1.5121757
3.5459523,1.5333657
3.699203,1.5571741
3.8571517,1.5429194
3.9759145,1.5615938
4.439579,1.5949719
5.0749664,1.5576391
5.667334,1.5713491
6.0241485,1.5759633
6.140997,1.6227404
6.2395024,1.6137137
6.3352146,1.6178824
6.4316216,1.6218178
6.529406,1.6275303
6.6247015,1.6296649
6.7199836,1.6353996
6.8148866,1.6435741
6.910082,1.6465118
7.099037,1.6503725
7.193421,1.660301
7.3495927,1.6968998
7.6020203,1.8421791
7.7538767,1.8984481
7.891086,1.9324136
8.011403,1.9434189
8.126087,1.9369292
8.268364,1.9306443
8.505858,1.9274186
9.514171,1.9445912
9.716376,1.9651015
9.896109,1.9661782
9.985543,1.9697229
10.101286,1.9767402
10.31212,1.9877176
10.441024,2.022284
10.542356,2.0143392
10.630645,2.0190892
10.98278,2.0259163
11.159182,2.0365548
11.303441,2.0576344
11.602258,2.0794835
11.863492,2.087975
12.1105175,2.1018271
12.231051,2.1487987
12.341606,2.1670957
12.437896,2.1732097
12.536378,2.1835773
12.724295,2.1939652
12.822612,2.2068355
13.091608,2.2188313
13.265271,2.2255366
13.587681,2.2819614
13.860639,2.2950802
14.137556,2.3020134
14.639921,2.3203359
15.708703,2.3098686
17.051527,2.3372037
17.447184,2.418837
21.170986,2.6208825
24.880638,2.6208825
26.146515,2.769953
28.130455,2.8785334
29.126434,2.9129984
30.02813,2.9674098
30.927254,3.1641595
36.796455,3.3411107
40.847237,3.3670173
44.469013,3.363816
49.05196,3.363816
54.841038,3.363816
58.341022,3.363816
62.461327,3.363816
66.57573,3.363816
69.62789,3.363816
72.67827,3.363816
75.72713,3.363816
78.774284,3.363816
81.81966,3.363816
86.74529,3.363816
89.803665,3.363816
94.12823,3.363816
