depth,density_bulk
0.14514032,510.1883
0.3088997,410.38666
0.4625686,396.80075
0.60696894,360.10526
0.7472552,356.87292
0.8861126,360.55936
1.023457,364.15744
1.1600451,367.6614
1.3164449,403.95822
1.7061425,461.41187
1.8481035,474.96512
1.9854273,479.58322
2.1185575,476.03113
2.2451854,473.13962
2.3741302,494.37836
2.5019877,498.36154
2.6270795,496.50815
2.948638,492.0661
3.1904743,619.9271
3.333234,563.17664
3.45545,515.30164
3.7109046,541.64874
3.887625,639.7347
4.1169133,566.5869
4.9494476,547.5496
5.051363,491.79718
5.152964,492.89093
5.368246,564.21844
5.7280717,563.8908
5.836818,535.2347
6.154998,531.701
6.3522134,544.3253
6.4579983,651.69635
6.5786557,584.03436
6.683785,541.42303
6.7812395,514.8438
6.8786936,515.8714
6.9760222,516.8769
7.0733676,517.86273
7.1716332,518.83453
7.267921,519.7866
7.3640223,520.71857
7.4599295,521.642
7.5600185,536.4651
7.65571,523.5416
7.751278,524.4483
7.935461,678.7722
8.050113,593.49567
8.502058,689.95184
9.095547,607.2557
9.398135,653.754
9.50458,594.6037
9.604164,569.6936
9.695824,547.1866
9.877662,548.25824
10.113122,624.786
10.215024,590.0415
10.3231,607.47797
10.775846,555.30774
10.897732,585.69037
11.04716,710.85754
11.182885,675.39526
11.37861,590.3116
11.824852,563.6279
12.003135,565.89233
12.403998,634.20483
12.754792,571.1689
15.714789,648.3927
18.213812,628.4533
18.904297,731.2965
22.585121,671.9505
26.232706,678.0734
27.863426,666.7193
29.30331,738.09717
31.66882,684.6397
32.420166,665.364
36.720394,674.40375
40.463573,699.95087
44.204826,700.3107
48.42355,709.39703
52.84799,719.30786
57.347626,724.5111
62.066208,729.4259
65.3836,734.7732
68.69308,736.52966
72.3326,745.42755
78.25986,751.0467
82.51239,762.3974
85.914734,780.095
89.31263,781.1177
92.95261,808.079
96.58982,808.69257
101.79785,818.61884
104.529945,819.59314
107.291176,837.70856
110.11857,858.5054
112.94568,858.5911
115.908325,858.99817
118.92759,869.59503
122.04079,869.79645
