depth,dgrain
0.1452158,0.5809468
0.3090103,0.7336766
0.46273622,0.74763393
0.607085,0.73044395
0.7473915,0.78868747
0.88626873,0.8433836
1.0236357,0.85163397
1.160279,0.85825646
1.3167133,0.9046045
1.7065027,0.95044845
1.8482659,1.104978
1.9856412,1.1729187
2.118824,1.2107962
2.2456982,1.2358006
2.3747523,1.2421187
2.5031724,1.2485522
2.6277862,1.2656676
2.9496632,1.2360581
3.1950204,1.2286777
3.3375418,1.376944
3.4608262,1.4120282
3.7162635,1.4343566
3.893616,1.4514873
4.1218033,1.4964296
4.2417393,1.5313607
4.6078863,1.5100274
4.9530945,1.4551622
5.055103,1.4476391
5.156795,1.4527723
5.3723536,1.472603
5.7324185,1.5416799
5.8412886,1.5710387
5.949577,1.560783
6.159552,1.5543749
6.3569403,1.5689582
6.462874,1.5984843
6.5836368,1.6179383
6.688777,1.6127971
6.7863092,1.6138039
6.88384,1.6188345
6.981248,1.6220297
7.07867,1.6275856
7.177018,1.6297091
7.273387,1.6355202
7.369568,1.643737
7.4655547,1.6466525
7.5657296,1.6490744
7.6615114,1.6546521
7.7571664,1.6603649
7.941345,1.689333
8.056208,1.8154161
8.5087385,1.8428745
9.102405,1.8557687
9.405381,1.841374
9.5118,1.8799564
9.61142,1.8798916
9.703158,1.8962034
9.885112,1.8998632
10.117673,1.9165406
10.219438,1.9594022
10.326373,1.9616829
10.421298,1.9566891
10.511621,1.9639672
10.601806,1.9652442
10.692728,1.9672246
10.782782,1.9697758
10.904798,1.9766004
11.055152,1.9852309
11.190798,2.0237303
11.29643,2.0111914
11.3863,2.0106056
11.475579,2.0191972
11.5655775,2.021461
11.655153,2.0257022
11.744372,2.0277019
11.832997,2.029306
11.921943,2.0354917
16.486174,2.1934018
18.229853,2.3313186
18.921711,2.4296744
22.284384,2.5885663
25.640497,2.5885663
27.899218,2.7561467
28.572966,2.836775
29.750565,2.8631375
31.966818,2.9350712
39.260426,3.3213432
43.824562,3.3666537
48.451736,3.363816
53.12708,3.363816
56.83781,3.363816
60.340572,3.363816
64.46216,3.363816
68.57789,3.363816
73.98598,3.363816
79.38885,3.363816
83.82316,3.363816
87.816376,3.363816
91.80839,3.363816
96.13346,3.363816
