depth,dgrain
0.15921353,0.25174782
0.37234625,0.40370518
0.56072444,0.47261155
0.7130434,0.5296212
0.8629214,0.63549393
1.0111517,0.70792514
1.1576601,0.76801115
1.3034093,0.8095434
1.4485344,0.8512293
1.5929655,0.88426393
1.7363191,0.90130454
1.8784778,0.923539
2.0295942,0.9505396
2.1684022,1.0035329
2.3053582,1.027512
2.4408684,1.073621
2.5749977,1.0945631
2.7082374,1.130859
2.8402567,1.1556593
3.0460498,1.1753932
3.1753254,1.2222372
3.302845,1.2423663
3.429182,1.2819016
3.55456,1.3045807
3.6791475,1.3219808
3.8907773,1.3423308
4.1217732,1.3585818
4.241802,1.3774333
4.3612027,1.4043038
4.479797,1.4205235
4.5974207,1.4308429
4.7151465,1.4405775
4.831658,1.4528278
4.9475136,1.4572756
5.063579,1.4641364
5.225104,1.4801817
5.33897,1.4937097
5.452304,1.5305548
5.5651274,1.5331177
5.677513,1.5379946
5.7895947,1.5486482
5.9011564,1.5667468
6.012112,1.5726403
6.122683,1.5801365
6.232737,1.592806
6.342336,1.60294
6.4514794,1.613635
6.5616665,1.6187226
6.670379,1.621974
6.7783885,1.635608
24.660074,2.3059454
24.80784,2.789686
24.89125,2.795075
24.974619,2.7963097
25.057888,2.8071735
25.141125,2.8111734
25.224182,2.8164163
25.307278,2.818039
25.390467,2.8217907
25.473806,2.8237786
25.556671,2.828469
25.639576,2.833166
25.72262,2.8424547
25.805515,2.846729
25.888351,2.8493366
25.972162,2.8530922
26.054766,2.858187
26.137426,2.8670187
26.220015,2.875814
26.302612,2.8778768
26.38526,2.8833213
26.467073,2.8845463
26.549871,2.8852606
26.632336,2.8909266
26.71536,2.9000938
28.352116,2.9318092
29.163212,2.979294
30.863087,3.0340269
31.84762,3.0820878
32.143414,3.0978026
33.54585,3.124359
35.36571,3.1779425
37.67397,3.2391002
39.034466,3.2888215
40.5453,3.32496
42.216316,3.3628986
44.05753,3.402599
46.07915,3.444017
62.176746,3.8724854
69.10015,3.9845788
72.91267,3.9845788
77.00145,3.9845788
81.18234,3.9845788
85.66167,3.9845788
90.267166,3.9845788
95.19516,3.9845788
100.32937,3.9845788
105.663994,3.9845788
114.25787,3.9845788
120.42522,3.9845788
