depth,dgrain
0.27192533,0.5998403
0.42479485,0.66910523
0.56811583,0.73005664
0.708976,0.7863222
0.84831905,0.8428471
0.9861245,0.85139126
1.1222885,0.8580971
1.2685714,0.90470964
1.6148281,0.9476348
1.7571331,1.0982456
1.8946569,1.1722958
2.0266492,1.2101209
2.153723,1.2320458
2.2832909,1.2351907
2.4146755,1.2436337
2.5342927,1.2694871
2.6551642,1.2660706
2.84884,1.2385408
3.0438485,1.2353668
3.1833386,1.3899156
3.3160143,1.4159975
3.4461112,1.4347484
3.57678,1.4382491
3.894363,1.4576248
4.961595,1.5086334
5.1628795,1.4739715
5.401886,1.5306872
5.519326,1.5604484
5.843365,1.5548564
5.9422464,1.5568005
6.334148,1.5858651
6.446425,1.6168572
6.5436535,1.6137476
6.641002,1.6186777
6.7382593,1.6218513
6.8371897,1.6275414
6.934187,1.629676
7.0310144,1.6354434
7.127449,1.6436284
7.2236495,1.6465443
7.4115043,1.6499997
7.50694,1.660301
7.6915197,1.6929165
7.803413,1.8161076
8.24197,1.840632
8.827744,1.8512199
9.112838,1.8406337
9.219732,1.8798599
9.31847,1.8806773
9.410096,1.894701
9.501548,1.8982084
9.592979,1.9027162
9.819974,1.9155788
9.921631,1.9572586
10.024251,1.9568509
10.116357,1.9550436
10.206995,1.9634196
10.29795,1.9651226
10.388169,1.9671943
10.478319,1.9697154
10.597878,1.9766217
10.862147,1.9885192
10.969791,2.0075827
11.0595455,2.0105402
11.504419,2.0243406
11.681872,2.0365622
11.875529,2.05691
12.412007,2.079285
12.970544,2.1212792
13.720472,2.18282
16.711464,2.2811828
17.71977,2.3424265
18.395863,2.4290972
22.757647,2.5965414
26.20097,2.6291633
27.14273,2.7737043
30.050156,2.8752754
39.766254,3.1317186
43.592506,3.2791448
47.414913,3.3750303
50.85205,3.4773126
54.180542,3.5739822
57.70332,3.6424534
61.212368,3.7512715
66.10026,3.9578276
69.6227,3.9863603
73.38166,3.9845788
77.38383,3.9845788
81.63222,3.9845788
85.034645,3.9845788
88.43276,3.9845788
92.09,3.9845788
95.74419,3.9845788
99.66746,3.9845788
103.588875,3.9845788
107.79766,3.9845788
112.005104,3.9845788
114.967766,3.9845788
117.987114,3.9845788
121.10039,3.9845788
