depth,rhofirn
0.27192533,332.52682
0.42479485,346.51562
0.56811583,351.38776
0.708976,355.82788
0.84831905,359.79294
0.9861245,363.61917
1.1222885,367.322
1.2685714,371.86945
1.6148281,385.38135
1.7571331,405.56595
1.8946569,416.4455
2.0266492,426.12766
2.153723,433.59366
2.2832909,437.99472
2.4146755,442.41565
2.5342927,448.12112
2.6551642,450.2278
2.84884,450.7121
3.0438485,452.98343
3.1833386,459.78674
3.3160143,463.86264
3.4461112,467.26016
3.57678,470.49557
3.894363,477.53174
4.961595,491.8412
5.1628795,495.7832
5.401886,499.55682
5.519326,502.45306
5.843365,504.85062
5.9422464,506.88846
6.334148,509.99408
6.446425,513.37537
6.5436535,514.53625
6.641002,515.5553
6.7382593,516.55255
6.8371897,517.5402
6.934187,518.50836
7.0310144,519.45154
7.127449,520.3826
7.2236495,521.3036
7.4115043,522.67
7.50694,524.01953
7.6915197,525.9105
7.803413,528.54553
8.24197,533.27466
8.827744,539.26825
9.112838,542.6359
9.219732,544.71533
9.31847,545.611
9.410096,546.38446
9.501548,547.10706
9.592979,547.82806
9.819974,549.29596
9.921631,550.89606
10.024251,551.7859
10.116357,552.56635
10.206995,553.2821
10.29795,553.9828
10.388169,554.67725
10.478319,555.36584
10.597878,556.1967
10.862147,558.06445
10.969791,559.9172
11.0595455,560.7028
11.504419,562.70197
11.681872,564.9865
11.875529,566.59595
12.412007,569.5547
12.970544,573.7999
13.720472,579.47925
16.711464,593.31525
17.71977,604.96796
18.395863,609.7504
22.757647,625.6145
26.20097,635.37604
27.14273,648.5599
30.050156,655.75964
39.766254,684.06464
43.592506,701.8932
47.414913,711.269
50.85205,721.29297
54.180542,725.20953
57.70332,730.34015
61.212368,729.941
66.10026,734.4568
69.6227,743.0234
73.38166,748.1091
77.38383,754.68945
81.63222,763.14075
85.034645,780.0763
88.43276,781.06683
92.09,804.2651
95.74419,804.9364
99.66746,828.7216
103.588875,829.1124
107.79766,851.52454
112.005104,851.79706
114.967766,858.99365
117.987114,869.57263
121.10039,869.7732
