depth,snic
0.20922104,0.05320238
0.36297804,0.013598337
0.50681275,0.0081178425
0.6463444,0.0076946546
0.7779303,0.0029702396
0.90672535,0.0018115472
1.2680383,0.07079392
1.4239063,0.031801328
1.5571836,0.013002649
1.6804712,0.0073098163
1.8013649,0.0066630705
1.9214058,0.0069524664
2.0430515,0.010464631
2.160014,0.00705778
2.3402176,0.019250836
2.5320976,0.055027895
2.6679735,0.029893825
2.8863943,0.092045374
3.0267947,0.037209902
3.1589754,0.03033033
3.2996695,0.039202828
3.4209151,0.020828236
3.7792692,0.06423875
3.9389818,0.03483265
4.083144,0.07118858
4.266699,0.07862689
4.413825,0.04832592
4.5505285,0.0392673
5.368128,0.26007232
5.4911222,0.028090622
5.595982,0.012654464
5.8712068,0.038066264
6.1695743,0.022889368
6.3777122,0.02866052
6.477364,0.008564194
6.722437,0.12756516
6.896496,0.076052085
7.0153418,0.025570026
7.4771814,0.19291076
7.8447895,0.11497758
8.0992985,0.09845705
8.238689,0.047397926
8.998006,0.22027668
9.157167,0.081044234
9.381942,0.048834197
9.582051,0.026787423
9.684332,0.015574207
9.789641,0.01855085
9.901577,0.024560733
10.064824,0.06962503
10.179144,0.027002282
10.608039,0.08344286
11.029592,0.13442396
11.130518,0.015277741
11.221692,0.007325959
11.312224,0.0066449605
11.403943,0.007064383
11.497924,0.010150112
11.58839,0.0071118395
11.732852,0.01947342
11.886144,0.05024892
11.999736,0.028395385
12.199247,0.093696095
12.322822,0.037423704
12.442553,0.034121264
12.564224,0.03633877
12.672545,0.023049269
12.779516,0.023357326
13.121983,0.06897961
13.5581,0.19641818
14.311087,0.2635096
14.893102,0.12444244
15.429424,0.05830614
16.366093,0.42477375
19.291025,0.88144827
20.341105,0.20889004
20.76193,0.15967463
21.634092,0.22262026
22.778763,0.46338087
23.924683,0.21948963
24.679241,0.33995435
25.718676,0.37985614
26.416967,0.33957687
30.723879,-3.1187152e-16
35.03079,-3.1187152e-16
37.583645,0.0
40.183086,0.0
42.66765,0.0
45.152206,0.0
47.797016,0.0
50.44183,0.0
55.07742,0.0
57.69733,0.0
60.506214,0.0
63.514286,0.0
66.731995,0.0
70.16966,0.0
73.83763,0.0
77.74634,0.0
81.906,0.0
