depth,density_bulk
0.20734783,527.45306
0.48330837,440.44553
0.61222875,428.2761
0.76892793,532.38696
0.92453796,533.8842
1.0828894,571.7548
1.2176195,527.21234
1.4320899,493.00558
1.5492082,503.64267
1.8444774,598.82416
1.9830837,605.8146
2.1145823,591.003
2.2352471,578.30865
2.3534055,579.1678
2.4731822,592.76166
2.6159492,593.6352
2.7148886,729.8334
2.8214831,704.7898
2.9566162,650.71924
3.0886307,647.49274
3.2152345,644.7635
3.481878,709.939
3.5653598,716.1954
3.647215,713.7029
3.8145459,673.56165
3.9524302,687.3706
4.086993,688.0788
4.219223,687.8574
4.3460183,680.1216
4.4676633,696.88763
4.5928,705.2069
4.7120175,677.39014
4.8186774,756.4491
4.9999914,778.3549
5.0980945,782.45154
5.2110953,789.7646
5.382405,756.7772
5.6945863,746.09717
6.0166483,754.6753
6.479737,769.7581
6.6295614,752.5159
7.1099052,720.0203
7.2970133,792.77985
7.701373,745.78406
8.045258,777.7238
8.220334,784.16486
8.364897,762.44727
8.708096,740.5511
8.8757105,776.78
9.03415,771.0064
9.174518,766.76965
9.310603,760.2759
9.433754,749.7847
9.554658,748.1256
9.680653,756.66003
9.912861,794.68286
10.090293,787.30804
10.22811,773.0585
10.354162,760.7291
11.900567,798.48126
13.446815,798.562
15.651877,803.4027
16.112883,786.3929
17.790276,818.442
19.46991,818.56274
21.66481,817.448
23.488062,794.9911
23.589993,782.83795
25.844969,779.678
28.09853,780.1682
31.030193,791.20624
33.961502,791.3016
35.283756,826.4513
38.49444,792.51385
41.26673,813.36273
43.27059,840.5668
46.424416,894.3934
48.20326,900.0
49.982098,900.0
52.59341,900.0
55.398827,900.0
58.413277,900.0
61.65169,900.0
65.129,900.0
67.02816,900.0
68.92732,900.0
70.89368,900.0
72.86002,900.0
74.96542,900.0
77.1436,900.0
79.39645,900.0
81.7258,900.0
84.13355,900.0
86.62155,900.0
89.19167,900.0
91.84578,900.0
94.58574,900.0
97.413414,900.0
100.33068,900.0
103.3394,900.0
