depth,dgrain
0.16338207,0.40900156
0.32055154,0.42670625
0.47818395,0.4916001
0.6301845,0.68867344
0.78000915,0.88343775
0.9284018,0.9215052
1.0747935,0.95027375
1.2192332,0.97926813
1.361286,1.0740535
1.5014068,1.1607112
1.6394742,1.2205067
1.7753628,1.3048564
2.009645,1.3492086
2.1398106,1.3607024
2.2683954,1.4082496
2.395796,1.4547571
2.521825,1.4677266
2.646546,1.4987415
2.7701302,1.5527229
2.892852,1.5715958
3.032588,1.5875766
3.152748,1.6118077
3.2720695,1.6495146
3.5004897,1.68165
3.6170964,1.7367247
3.7330244,1.7516711
3.9242592,1.7700815
4.0379276,1.8251199
4.2168202,1.8466895
4.5572705,1.9023103
4.761692,1.9273682
4.870901,1.9755204
4.979489,1.9891517
5.087504,2.028422
5.200284,2.0452352
5.307849,2.0459733
5.4165955,2.0492408
5.5226655,2.065603
5.6282773,2.09357
5.733704,2.1006207
5.8386645,2.1063159
5.94321,2.1123817
6.0473943,2.134547
6.1511126,2.1580453
6.2544756,2.176104
6.3574085,2.204151
6.540692,2.220109
7.2482777,2.2701356
7.3633904,2.3200507
7.462837,2.3315032
7.562066,2.3498154
7.7542768,2.3658524
9.127548,2.4725199
9.227961,2.5733898
9.323462,2.5738554
9.419088,2.5759218
9.513768,2.5862827
9.608173,2.6042316
9.702997,2.6088343
9.797175,2.6125317
9.891396,2.6164799
9.985189,2.6309984
10.078713,2.6465402
10.172135,2.6585975
10.265292,2.6774964
10.432615,2.6883497
13.670216,2.8497703
14.108681,3.0172887
14.805141,3.0625389
15.691011,3.132572
16.035519,3.1823413
17.194628,3.2467532
17.796616,3.3124437
18.48883,3.3542583
19.278582,3.4096134
20.172806,3.4705303
21.718552,3.5498447
22.910892,3.6581511
23.558636,3.7272863
24.236282,3.775296
25.691912,3.886887
30.001215,3.9731243
30.975801,3.9845788
32.002422,3.9845788
33.073517,3.9845788
34.117596,3.9845788
35.278225,3.9845788
46.179703,3.9845788
49.401943,3.9845788
54.50027,3.9845788
58.147305,3.9845788
63.92204,3.9845788
68.05216,3.9845788
72.47901,3.9845788
79.488464,3.9845788
87.04859,3.9845788
92.491135,3.9845788
98.29116,3.9845788
101.33008,3.9845788
104.46419,3.9845788
