depth,density_bulk
0.1080099,890.94135
0.19480152,900.0
0.28159314,900.0
0.36838478,900.0
0.45517638,900.0
0.541968,900.0
0.6287596,900.0
0.71555126,900.0
0.8023429,900.0
0.8891345,900.0
0.9759261,900.0
1.0627178,900.0
1.1495094,900.0
1.236301,900.0
1.3230926,900.0
1.4098842,900.0
1.4966758,900.0
1.5834675,900.0
1.6702591,900.0
1.7570508,900.0
1.8438424,900.0
1.930634,900.0
2.0174255,900.0
2.1042173,900.0
2.1910088,900.0
2.2778006,900.0
2.364592,900.0
2.4513838,900.0
2.5381753,900.0
2.6249669,900.0
2.7117586,900.0
2.7985501,900.0
2.885342,900.0
2.9721334,900.0
3.0589252,900.0
3.1457167,900.0
3.2325084,900.0
3.3193,900.0
3.4060917,900.0
3.4928832,900.0
3.5796747,900.0
3.6664665,900.0
3.753258,900.0
3.8400497,900.0
3.9268413,900.0
4.013633,900.0
4.100425,900.0
4.1872163,900.0
4.274008,900.0
4.3607993,900.0
4.447591,900.0
4.534383,900.0
4.6211743,900.0
4.707966,900.0
4.7947574,900.0
4.8815494,900.0
4.968341,900.0
5.0551324,900.0
5.228716,900.0
5.402299,900.0
5.575882,900.0
5.7494655,900.0
5.9230485,900.0
6.096632,900.0
6.270215,900.0
6.6173816,900.0
6.964548,900.0
7.3117146,900.0
7.658881,900.0
8.006047,900.0
8.353214,900.0
9.047547,900.0
9.74188,900.0
10.4362135,900.0
11.130546,900.0
11.824879,900.0
13.213545,900.0
14.602211,900.0
15.990877,900.0
17.379543,900.0
18.76821,900.0
20.156876,900.0
22.934206,900.0
25.711538,900.0
28.48887,900.0
31.266203,900.0
34.043533,900.0
36.820866,900.0
39.598198,900.0
42.37553,900.0
45.152863,900.0
47.930195,900.0
50.707527,900.0
53.48486,900.0
56.26219,900.0
59.03952,900.0
61.816853,900.0
64.594185,900.0
67.37152,900.0
70.14885,900.0
