depth,T_ice
0.06471014,0.0
0.1667146,-0.057769775
0.23301749,-0.6298523
0.2993204,-0.97036743
0.4064251,-1.3830261
0.5135298,-1.8185425
0.5951333,-2.1488953
0.6767369,-2.4111328
0.7583405,-2.6592407
0.839944,-2.900116
0.9215476,-3.1377563
1.0031512,-3.3737183
1.0847547,-3.6080017
1.1663584,-3.8397827
1.2509947,-4.072174
1.3356311,-4.3037415
1.4452177,-4.5625
1.5548043,-4.8431396
1.6643908,-5.111664
1.7739774,-5.367981
1.8616467,-5.5877686
1.9493159,-5.775635
2.0369852,-5.956238
2.1246545,-6.129822
2.2123237,-6.2967224
2.299993,-6.457184
2.3876622,-6.6114807
2.4753315,-6.759857
2.5630007,-6.9025574
2.65067,-7.039795
2.7383392,-7.171753
2.8260086,-7.2986145
2.9136777,-7.4205017
3.001347,-7.537628
3.067099,-7.636017
3.132851,-7.7177734
3.198603,-7.7970276
3.264355,-7.8737793
3.3301067,-7.94812
3.3958588,-8.02005
3.5054452,-8.112854
3.615032,-8.222473
3.702701,-8.315552
3.7903705,-8.39444
3.8780396,-8.469513
3.965709,-8.540955
4.053378,-8.608765
4.1475797,-8.675507
4.241781,-8.740723
4.335983,-8.802124
4.4301844,-8.859833
4.524386,-8.913971
4.6185875,-8.964661
4.712789,-9.011993
4.8069906,-9.056122
4.901192,-9.097137
4.9953938,-9.135162
5.0895953,-9.170319
5.183797,-9.202698
5.2779984,-9.232422
5.3722,-9.2595825
5.4664016,-9.284271
5.560603,-9.306641
5.654804,-9.326752
5.749006,-9.344727
5.937409,-9.368622
6.125812,-9.392792
6.314215,-9.410065
6.5026183,-9.421051
6.6910214,-9.426422
7.0678277,-9.426819
7.4371934,-9.410522
7.806559,-9.381592
8.175924,-9.342926
8.54529,-9.297028
9.0993395,-9.233368
9.653388,-9.150574
10.207437,-9.065643
10.761485,-8.981445
11.869582,-8.859039
12.977679,-8.712189
14.313397,-8.569061
15.6491165,-8.433533
17.136158,-8.306061
19.366718,-8.1527405
21.597279,-7.98172
23.735817,-7.8213196
25.893404,-7.6693115
28.050993,-7.5225525
30.380352,-7.376007
32.788097,-7.227661
35.2761,-7.0802
37.846222,-6.933136
40.500328,-6.785919
43.240288,-6.6378174
46.067966,-6.4856873
47.5266,-6.366852
48.985233,-6.3046265
50.48959,-6.222931
51.99395,-6.135315
