depth,T_ice
0.057162844,-0.00061035156
0.114324324,0.00015258789
0.20111595,0.008544922
0.28790757,-0.46640015
0.3746992,-0.7790222
0.4614908,-1.0832825
0.54828244,-1.3713684
0.6350741,-1.6413574
0.7218657,-1.8936768
0.8086573,-2.129547
0.8954489,-2.3503723
0.98224056,-2.557251
1.0690322,-2.7511597
1.1558238,-2.9328003
1.2426155,-3.1027527
1.3294071,-3.2615967
1.4161987,-3.40979
1.5029902,-3.547882
1.5897819,-3.6763306
1.6765735,-3.7956848
1.7633651,-3.9064026
1.8501568,-4.008972
1.9369484,-4.103882
2.02374,-4.1915283
2.1105316,-4.2724
2.1973233,-4.346863
2.2841148,-4.415283
2.3709066,-4.478058
2.457698,-4.5354614
2.5444899,-4.58786
2.6312814,-4.6355286
2.7180731,-4.678711
2.8048646,-4.717743
2.8916562,-4.752777
2.978448,-4.7841187
3.0652394,-4.81192
3.1520312,-4.836426
3.2388227,-4.857849
3.3256145,-4.8763123
3.412406,-4.892029
3.4991977,-4.9051514
3.5859892,-4.915863
3.672781,-4.9242554
3.7595725,-4.9305115
3.846364,-4.9347534
3.9331558,-4.9371033
4.0199475,-4.937683
4.106739,-4.936615
4.1935306,-4.9339905
4.280322,-4.9299316
4.367114,-4.92453
4.4539056,-4.917877
4.540697,-4.9100647
4.6274886,-4.901184
4.71428,-4.8912964
4.801072,-4.880493
4.8878636,-4.868866
4.974655,-4.856415
5.0614467,-4.843292
5.1482387,-4.8294983
5.23503,-4.8151245
5.3218217,-4.8002014
5.408613,-4.78479
5.495405,-4.7689514
5.5821967,-4.752716
5.668988,-4.736145
5.7557797,-4.719269
5.8425713,-4.702118
5.9293633,-4.6847534
6.016155,-4.667206
6.1029463,-4.6495056
6.27653,-4.6227417
6.450113,-4.5867004
6.623696,-4.5505066
6.7972794,-4.5143433
6.9708624,-4.478363
7.144446,-4.442688
7.4916124,-4.3897705
7.838779,-4.321411
8.1859455,-4.255768
8.533112,-4.193207
8.880279,-4.134033
9.574612,-4.050537
10.268944,-3.9532166
10.963277,-3.8693848
11.65761,-3.7982178
12.351943,-3.7385254
13.046276,-3.6889038
14.434942,-3.6270447
15.823608,-3.5691528
17.212275,-3.5288696
18.60094,-3.501068
19.989607,-3.4812317
21.378271,-3.4659424
22.766937,-3.4600525
25.54427,-3.4486694
28.321602,-3.4409485
31.098934,-3.4369812
33.876266,-3.4349365
36.6536,-3.4338074
