depth,density_bulk
0.0943473,882.8647
0.18113892,900.0
0.26793054,900.0
0.35472217,900.0
0.4415138,900.0
0.5283054,900.0
0.61509705,900.0
0.7018887,900.0
0.7886803,900.0
0.8754719,900.0
0.9622635,900.0
1.0490551,900.0
1.1358467,900.0
1.2226384,900.0
1.30943,900.0
1.3962216,900.0
1.4830133,900.0
1.5698049,900.0
1.6565965,900.0
1.7433882,900.0
1.8301798,900.0
1.9169714,900.0
2.003763,900.0
2.0905547,900.0
2.1773462,900.0
2.264138,900.0
2.3509295,900.0
2.437721,900.0
2.5245128,900.0
2.6113043,900.0
2.698096,900.0
2.7848876,900.0
2.8716793,900.0
2.9584708,900.0
3.0452626,900.0
3.132054,900.0
3.2188458,900.0
3.3056374,900.0
3.3924289,900.0
3.4792206,900.0
3.5660121,900.0
3.652804,900.0
3.7395954,900.0
3.8263872,900.0
3.9131787,900.0
3.9999704,900.0
4.086762,900.0
4.1735535,900.0
4.260345,900.0
4.347137,900.0
4.4339285,900.0
4.52072,900.0
4.6075115,900.0
4.6943035,900.0
4.781095,900.0
4.8678865,900.0
4.954678,900.0
5.04147,900.0
5.1282616,900.0
5.215053,900.0
5.3018446,900.0
5.388636,900.0
5.5622196,900.0
5.7358027,900.0
5.909386,900.0
6.082969,900.0
6.2565527,900.0
6.4301357,900.0
6.7773023,900.0
7.124469,900.0
7.4716353,900.0
7.818802,900.0
8.165968,900.0
8.513135,900.0
8.860301,900.0
9.554634,900.0
10.248967,900.0
10.9433,900.0
11.637633,900.0
12.331966,900.0
13.026299,900.0
14.414965,900.0
15.803631,900.0
17.192297,900.0
18.580963,900.0
19.96963,900.0
22.746962,900.0
25.524292,900.0
28.301624,900.0
31.078957,900.0
33.85629,900.0
36.63362,900.0
39.410954,900.0
42.188286,900.0
44.96562,900.0
47.742947,900.0
50.52028,900.0
53.29761,900.0
56.074944,900.0
58.852276,900.0
