depth,density_bulk
0.09559516,529.50214
0.19073059,527.3778
0.3088118,465.0535
0.42036125,465.74777
0.5379056,480.68387
0.64722425,469.29172
0.7620563,473.599
0.8690443,472.60507
0.9787498,476.99164
1.0862579,480.71106
1.1935364,489.39774
1.3026328,484.34412
1.4075773,489.56787
1.5195818,562.8031
1.6312956,547.0325
1.7430059,554.4002
1.8527822,550.8569
1.9611086,549.3271
2.067844,550.73596
2.1760662,560.1527
2.281054,545.17426
2.4288476,574.09186
2.530594,550.0498
2.6379972,550.3267
2.7307575,567.32904
2.823306,569.1368
2.9271202,573.2288
3.0328748,576.15234
3.142988,597.5026
3.2530766,597.63715
3.3371038,684.60474
3.4211273,684.6358
3.5420992,642.9858
3.6586006,634.45044
3.7988513,655.28
3.9214182,657.2151
4.0391984,650.008
4.1499085,640.817
4.2542944,629.7185
4.4086804,665.77405
4.496571,722.63794
4.578736,711.7746
4.8224316,669.7079
4.926589,700.43494
5.027232,695.61145
5.2191243,688.23206
5.3372912,691.0321
5.4450955,676.2739
5.5548697,672.09015
5.665587,678.9493
5.7694054,672.775
5.8736653,671.8699
6.2212863,683.9712
6.7192636,674.6031
7.217138,674.74274
7.5188813,671.0525
7.6605606,683.01447
7.7521605,678.78906
7.8708754,747.6183
8.443971,733.08813
9.017023,733.1435
9.589968,733.28125
10.162885,733.316
11.340966,761.6291
12.123871,733.94403
12.906753,733.9657
14.472278,734.07697
16.255407,774.2521
18.038412,774.30597
19.80632,780.91614
21.57414,780.9556
24.416172,795.60297
27.257946,795.6753
29.355532,803.8229
31.453184,803.7983
34.620735,899.4715
37.79025,899.47345
40.731583,900.0
43.672916,900.0
45.518284,900.0
47.752586,900.0
49.98689,900.0
52.21063,900.0
54.257355,900.0
56.30408,900.0
58.46143,900.0
60.902817,900.0
63.522728,900.0
66.33161,900.0
69.33968,900.0
70.94854,900.0
72.55739,900.0
74.27622,900.0
75.995056,900.0
77.82904,900.0
79.663025,900.0
81.61738,900.0
83.57173,900.0
85.651566,900.0
87.7314,900.0
