depth,rhofirn
0.09534648,445.80222
0.1934831,445.81906
0.3112811,454.09888
0.4228195,458.26364
0.54051805,461.68314
0.6496504,464.3327
0.76451844,467.4431
0.87151873,470.53412
0.98124075,473.45105
1.0892165,476.40286
1.1962485,479.21735
1.305738,481.5116
1.4105532,484.466
1.5392878,490.32452
1.6511136,505.3344
1.7626743,508.19238
1.872659,510.65546
1.9805051,513.60004
2.08774,516.34436
2.195823,518.96124
2.300559,521.68884
2.4482884,524.42163
2.54993,528.0189
2.6571903,530.6218
2.8429792,533.3058
2.9465537,537.78516
3.0512733,540.3322
3.2709296,544.0588
3.4756646,551.0402
3.5934236,557.95526
3.7095182,561.0167
3.8494136,564.245
3.9706194,567.868
4.087821,570.9924
4.1982994,573.95667
4.3021717,576.88916
4.4559913,580.15155
4.5522738,587.17706
4.6627655,589.5872
4.9061513,592.766
5.0105276,597.446
5.11299,599.55273
5.3079944,601.70447
5.4252157,606.4975
5.532703,608.3529
5.752183,610.7096
5.9588246,614.3594
6.136448,617.01117
6.3069267,619.44214
6.9064846,624.56055
7.013596,629.14844
7.1179132,630.8727
7.2206984,632.39557
7.317913,633.89575
7.6183095,636.3045
7.761781,639.7803
7.8518066,641.776
7.978263,643.541
9.146955,660.752
10.315577,660.8082
10.955818,676.38446
12.786122,694.9155
14.6162195,695.01404
16.343655,711.7502
18.780235,723.1418
20.939386,734.3833
23.0506,748.7301
25.161806,748.73486
28.68176,767.7022
32.201393,767.8032
35.230553,799.2638
38.259644,799.2818
40.735626,811.7527
43.211594,811.75726
45.687473,811.78784
48.16334,811.79034
51.384853,830.1633
54.60633,830.17285
57.35015,852.4348
60.09396,852.438
63.3915,879.6708
66.68902,879.6737
69.11426,888.672
71.53949,888.6728
74.73399,898.4523
77.92898,898.4536
79.8608,900.0
81.93074,900.0
84.00067,900.0
86.21618,900.0
88.431694,900.0
90.80025,900.0
93.1688,900.0
95.6568,900.0
98.22692,900.0
100.88103,900.0
103.62099,900.0
106.44867,900.0
109.36594,900.0
112.37465,900.0
