depth,density_bulk
0.1579001,316.8009
0.31363067,321.0238
0.46789116,325.32626
0.6204178,329.97906
0.76931363,335.84634
0.9158017,341.3288
1.0602883,346.04187
1.2025309,351.45743
1.3425264,357.1018
1.4806782,361.9286
1.6172485,366.1355
1.7526861,370.55304
1.885898,375.5239
2.0174243,380.1566
2.163721,384.6277
2.2923076,389.2059
2.4195042,393.277
2.5455184,396.88235
2.6703079,400.62448
2.7939818,404.3235
2.9167352,407.71756
3.0383108,411.23892
3.1589518,414.7235
3.2785692,417.9335
3.3975456,421.1899
3.5155268,424.34763
3.6325421,427.23105
3.8347418,431.31033
3.9497018,434.88702
4.064002,437.46332
4.1777816,439.97687
4.2907915,442.46707
4.403287,444.82596
10.568314,494.8928
10.662124,533.65845
10.756265,534.5828
10.849652,535.5106
10.942851,536.4319
11.035936,537.335
11.128838,538.2395
11.221596,539.1363
11.314209,540.0125
11.42666,541.64185
11.51894,541.9412
11.611063,542.79694
11.7031355,543.6354
11.794963,544.4695
11.886677,545.2981
11.978292,546.11273
12.069953,546.91675
12.161223,547.73224
12.2523575,548.5551
12.343357,549.3653
12.434224,550.16644
12.52496,550.96655
12.615564,551.75696
12.706042,552.53424
12.796392,553.31134
12.886617,554.08606
12.976717,554.84766
13.066696,555.59644
13.156554,556.34296
13.246291,557.0937
13.335909,557.8366
13.514777,558.98035
13.604032,560.11096
13.782193,561.19556
13.871105,562.26416
14.137197,563.62695
14.225683,564.96185
14.314062,565.65393
14.402334,566.3416
14.71076,567.9992
14.976221,570.1162
15.129322,571.6766
16.947231,581.8922
18.775463,589.7855
19.691729,595.0806
20.714424,605.73645
21.270672,610.49255
22.474625,617.14374
23.126719,621.2909
24.52937,628.78064
28.685064,641.5615
30.616844,658.0623
31.63176,673.48267
32.70521,667.8116
34.977943,676.7257
47.428944,711.68146
50.791615,724.3797
57.84868,769.3519
63.69818,788.5972
69.96398,818.2353
74.46237,828.26984
79.14368,851.8816
86.70741,859.7066
92.15248,863.4989
97.955284,863.52637
100.9957,863.5461
104.13138,863.5588
