depth,snowc
0.15867545,0.050001904
0.31532487,0.05001259
0.46899244,0.050008014
0.62053823,0.050051924
0.7702927,0.050013565
0.9187728,0.05005768
1.0662737,0.05016542
1.2119957,0.050013304
1.5147679,0.09987211
1.6619899,0.050091278
1.8002135,0.050190113
1.9373765,0.050379712
2.072276,0.05005646
2.205854,0.050027452
2.3383167,0.0500442
2.5274832,0.07054252
2.6575031,0.05042559
2.7852569,0.050033342
2.9118867,0.050021857
3.0374975,0.050006237
3.1627016,0.05020854
3.2866123,0.05004547
3.4421914,0.06335111
3.5643153,0.050225113
3.6850574,0.05005569
3.8048453,0.050020665
3.9239368,0.05005916
4.0425854,0.05018125
4.160161,0.050017864
4.277059,0.050006896
4.393566,0.0501085
4.509873,0.05028631
4.6253185,0.05018061
4.7397294,0.050003678
4.8537607,0.050104383
4.967134,0.050065316
5.0800543,0.05010127
5.192285,0.050020985
5.3045206,0.05024592
5.4278584,0.05528582
5.538571,0.050044704
5.648746,0.05002557
5.759126,0.050331373
5.868589,0.050113395
5.977532,0.05006511
6.0862384,0.05013904
6.194308,0.050021335
6.302052,0.050041433
6.4648476,0.07228403
6.571908,0.0501871
6.678215,0.050008018
6.784157,0.050004188
6.88996,0.0500998
6.9953084,0.05003864
7.1007767,0.050245084
7.205733,0.05015195
7.310355,0.05014669
7.4150124,0.05031638
7.518741,0.05001622
7.622175,0.050013423
7.7253723,0.05003446
7.828232,0.0500051
7.9505835,0.05946617
8.052834,0.050011702
8.154833,0.050022367
8.256786,0.050128043
8.358243,0.05000775
8.506165,0.07173884
8.607354,0.05018291
8.708226,0.050146166
8.808594,0.050012257
8.908853,0.050071552
9.008873,0.050063346
9.109266,0.05036372
9.209007,0.050149355
9.308423,0.050097957
9.407498,0.050035477
9.506986,0.050351173
15.939011,3.5419006
21.661642,3.1912766
25.42203,2.2324283
31.276396,3.6458936
33.935005,1.7023546
35.2278,0.834008
36.666134,0.932008
40.93372,2.8079414
42.933025,1.334984
54.46567,7.9788613
58.85592,3.1389492
67.66919,6.435
71.64338,2.91504
75.680626,3.13008
80.00984,3.35856
84.42843,3.60048
89.15862,3.85584
94.21671,4.12464
99.38042,4.40688
107.705444,7.16892
113.684586,5.17128
116.81577,2.70828
