depth,rhofirn
0.2065103,316.3704
0.36352164,319.09848
0.5189771,322.20724
0.6721851,326.3162
0.82413316,330.0566
0.9743745,333.0069
1.123455,335.9602
1.2708517,339.41125
1.416597,343.3761
1.5604081,347.73907
1.7025435,351.78714
1.8432635,355.35162
1.9833064,359.2383
2.1211188,363.79514
2.2569554,368.04276
2.3916178,371.7413
2.5260727,375.4129
2.657773,379.60675
2.7880528,383.9467
2.917136,387.82068
3.0450451,391.23425
3.1720028,394.3503
3.2978237,397.44116
3.4226835,400.71857
3.5466268,403.9064
3.6695433,406.826
3.7926042,409.60165
3.9142625,412.36148
4.0347953,415.22888
4.154487,418.05765
4.273336,420.6755
4.3915696,423.10556
4.5090923,425.4119
12.9239025,488.60092
13.017426,534.8241
13.110799,535.59406
13.204021,536.3548
13.297107,537.111
13.3905735,537.8681
13.483388,538.6247
13.57621,539.3701
13.668774,540.10254
13.76121,540.83295
13.853562,541.5696
13.945793,542.29816
14.037942,543.0131
14.1303425,543.7245
14.22217,544.4433
14.314204,545.1644
14.406015,545.87445
14.497512,546.56903
14.5889,547.25146
14.771196,548.27344
14.862308,549.29047
14.953239,549.95746
15.044646,550.6186
15.136092,551.2795
15.226731,551.9417
15.31723,552.599
15.407611,553.24567
15.497883,553.88184
15.588112,554.51025
15.714948,555.2755
15.805586,556.04425
15.895493,556.6756
15.985204,557.294
16.075457,557.90564
16.165035,558.5191
16.254787,559.1338
16.3441,559.74097
16.433504,560.33795
16.522655,560.9309
16.611956,561.5293
19.502676,570.94617
20.549807,582.7003
22.483797,593.43835
23.971344,599.82074
25.894764,605.5546
27.042051,610.281
29.719532,623.5447
30.478125,630.9482
32.092827,642.36865
33.876423,644.9145
35.835228,648.98334
37.98403,651.708
40.283424,668.8793
47.004326,698.6733
51.294376,701.93506
57.985867,728.5457
63.467014,756.09265
67.38634,770.6428
71.44604,798.6103
75.79936,798.76355
80.296074,828.5797
83.899124,844.33264
87.50204,844.364
95.31632,859.8718
100.937386,863.65454
106.92391,863.6813
110.05908,863.6998
