depth,rhofirn
0.15854095,315.55344
0.31577954,318.87375
0.5987568,328.4368
0.74809676,336.33356
0.8951691,340.45145
1.0413362,343.73505
1.1862808,346.46857
1.3296521,348.8233
1.4723269,350.9426
1.6140324,352.97086
1.7554597,355.00696
1.8958124,357.18195
2.035955,359.6024
2.1740575,362.38107
2.505006,370.65167
2.6390326,379.14447
2.7697337,383.29257
2.8993146,386.90027
3.027867,390.1617
3.155785,393.123
3.2821975,395.80975
3.407804,398.28122
3.5327709,400.61188
3.6571648,402.8246
3.780821,404.94788
3.9049525,407.01602
4.027204,409.03113
4.1490436,410.9952
4.2701926,412.9711
4.391185,415.0094
4.5564303,418.2987
4.6768165,421.80765
4.8809676,425.20676
4.9976935,428.2858
5.1146197,430.37155
5.2310786,432.3488
5.3463144,434.21158
5.4609995,435.9773
5.5752807,437.67566
5.68912,439.32947
5.802825,440.9436
5.9158473,442.52454
6.029392,444.127
6.141571,445.78998
6.4918737,449.90085
6.6026864,453.81238
6.713696,455.51123
6.8237896,457.12177
6.932957,458.64285
7.0423203,460.0936
7.150755,461.48972
7.259126,462.83795
7.368641,464.1612
7.4765935,465.4522
7.584474,466.70682
7.6914945,467.9328
7.7982197,469.15164
7.9045305,470.36984
8.22477,473.28543
8.334629,476.2753
8.439301,477.6268
8.544792,478.8753
8.64901,480.0704
8.752944,481.21826
8.858089,482.34235
8.963566,483.4457
9.066855,484.51578
9.170788,485.55963
9.273747,486.594
9.377452,487.6234
9.480628,488.65976
9.58272,489.69742
9.684992,490.7466
9.877326,492.3305
9.978722,493.9123
10.079736,494.98526
10.180699,496.0264
10.281738,497.03647
10.382355,498.01807
23.675262,551.1354
30.998022,584.9651
37.208973,613.98895
43.264748,632.56305
48.527714,647.697
52.29679,659.93744
55.87235,668.0734
66.10724,681.0995
78.25179,699.392
85.099724,711.9023
88.893715,715.07996
92.86426,734.0485
97.1192,735.5153
101.66893,738.07007
106.53732,739.4439
114.16894,770.84314
122.24561,805.10803
127.99578,817.68164
134.12259,817.8597
137.19557,854.3959
140.36476,854.42944
