depth,density_bulk
0.0807678,892.2909
0.16755943,900.0
0.25435105,900.0
0.34114268,900.0
0.4279343,900.0
0.5147259,900.0
0.60151756,900.0
0.6883092,900.0
0.77510077,900.0
0.8618924,900.0
0.94868404,900.0
1.0354756,900.0
1.1222672,900.0
1.2090589,900.0
1.2958505,900.0
1.3826421,900.0
1.4694338,900.0
1.5562254,900.0
1.643017,900.0
1.7298087,900.0
1.8166003,900.0
1.9033918,900.0
1.9901835,900.0
2.076975,900.0
2.1637669,900.0
2.2505584,900.0
2.33735,900.0
2.4241416,900.0
2.5109332,900.0
2.597725,900.0
2.6845164,900.0
2.7713082,900.0
2.8580997,900.0
2.9448915,900.0
3.031683,900.0
3.1184747,900.0
3.2052662,900.0
3.2920578,900.0
3.3788495,900.0
3.465641,900.0
3.5524328,900.0
3.6392243,900.0
3.726016,900.0
3.8128076,900.0
3.8995993,900.0
3.9863908,900.0
4.0731826,900.0
4.159974,900.0
4.2467656,900.0
4.333557,900.0
4.420349,900.0
4.5071406,900.0
4.593932,900.0
4.6807237,900.0
4.7675157,900.0
4.854307,900.0
4.9410987,900.0
5.1146817,900.0
5.288265,900.0
5.4618483,900.0
5.635432,900.0
5.809015,900.0
5.9825983,900.0
6.1561813,900.0
6.503348,900.0
6.8505144,900.0
7.197681,900.0
7.5448475,900.0
7.892014,900.0
8.586347,900.0
9.28068,900.0
9.975013,900.0
10.669346,900.0
11.363679,900.0
12.058012,900.0
13.446678,900.0
14.835343,900.0
16.22401,900.0
17.612677,900.0
19.00134,900.0
20.390007,900.0
21.778673,900.0
24.556005,900.0
27.333338,900.0
30.11067,900.0
32.888,900.0
35.665333,900.0
38.442665,900.0
41.219997,900.0
43.99733,900.0
46.774662,900.0
49.551994,900.0
52.329327,900.0
55.106655,900.0
57.883987,900.0
60.66132,900.0
63.438652,900.0
66.21599,900.0
68.99332,900.0
71.770645,900.0
