depth,snic
0.08244489,0.07028904
0.1475386,0.05859375
0.21263233,0.05859375
0.27772605,0.05859375
0.36451766,0.078125
0.4513093,0.078125
0.5381009,0.078125
0.62489253,0.078125
0.71168417,0.078125
0.7984758,0.078125
0.8852674,0.078125
0.972059,0.078125
1.0588506,0.078125
1.1456423,0.078125
1.2324339,0.078125
1.3192255,0.078125
1.4060172,0.078125
1.4928088,0.078125
1.5796003,0.078125
1.666392,0.078125
1.7531836,0.078125
1.8399752,0.078125
1.9267669,0.078125
2.0135586,0.078125
2.1003501,0.078125
2.1871417,0.078125
2.2739334,0.078125
2.360725,0.078125
2.4475167,0.078125
2.5343082,0.078125
2.6211,0.078125
2.7078915,0.078125
2.7946832,0.078125
2.8814747,0.078125
2.9682662,0.078125
3.055058,0.078125
3.1418495,0.078125
3.2286413,0.078125
3.3154328,0.078125
3.4022245,0.078125
3.489016,0.078125
3.5758078,0.078125
3.6625993,0.078125
3.749391,0.078125
3.8361826,0.078125
3.922974,0.078125
4.0097656,0.078125
4.0965576,0.078125
4.183349,0.078125
4.2701406,0.078125
4.356932,0.078125
4.443724,0.078125
4.5305157,0.078125
4.617307,0.078125
4.7040987,0.078125
4.79089,0.078125
4.877682,0.078125
4.9644737,0.078125
5.0512652,0.078125
5.1380568,0.078125
5.2248487,0.078125
5.3116403,0.078125
5.4852233,0.15625
5.658807,0.15625
5.83239,0.15625
6.0059733,0.15625
6.1795564,0.15625
6.35314,0.15625
6.700306,0.3125
7.0474725,0.3125
7.394639,0.3125
7.7418056,0.3125
8.088972,0.3125
8.436139,0.3125
9.130471,0.625
9.824804,0.625
10.519137,0.625
11.21347,0.625
11.907804,0.625
13.29647,1.25
14.685136,1.25
16.073801,1.25
17.462467,1.25
18.851133,1.25
20.2398,1.25
21.628466,1.25
24.405798,2.5
27.183128,2.5
29.96046,2.5
32.737793,2.5
35.515125,2.5
38.292458,2.5
41.06979,2.5
43.847122,2.5
46.624454,2.5
49.401783,2.5
52.179115,2.5
54.956448,2.5
57.73378,2.5
60.511112,2.5
