depth,T_ice
0.095663436,0.0
0.18245506,0.0034179688
0.26924667,-0.26715088
0.3560383,-0.46258545
0.44282994,-0.6541748
0.52962154,-0.8407898
0.6164132,-1.0214844
0.7032048,-1.1956787
0.78999645,-1.3629456
0.876788,-1.5231323
0.96357965,-1.676239
1.0503713,-1.8223877
1.1371629,-1.961731
1.2239546,-2.094574
1.3107462,-2.2210999
1.3975378,-2.3415833
1.4843295,-2.4562988
1.571121,-2.5653992
1.6579126,-2.669159
1.7447042,-2.7677612
1.8314959,-2.8614197
1.9182875,-2.9502869
2.005079,-3.0345764
2.0918708,-3.1144104
2.1786623,-3.190033
2.265454,-3.2615662
2.3522456,-3.329193
2.4390373,-3.393036
2.5258288,-3.453308
2.6126206,-3.5101013
2.699412,-3.5635986
2.7862039,-3.6138916
2.8729954,-3.6611633
2.959787,-3.7055054
3.0465786,-3.7470398
3.1333702,-3.7859192
3.220162,-3.8222046
3.3069534,-3.8560486
3.3937452,-3.8875427
3.4805367,-3.9167786
3.5673285,-3.9438477
3.65412,-3.968872
3.7409117,-3.9918823
3.8277032,-4.013031
3.9144948,-4.0323486
4.0012865,-4.0499573
4.088078,-4.0658875
4.1748695,-4.0802307
4.2616615,-4.0930786
4.348453,-4.104492
4.4352446,-4.114502
4.522036,-4.12323
4.608828,-4.1306763
4.6956196,-4.136963
4.782411,-4.14209
4.8692026,-4.146118
4.955994,-4.1491394
5.042786,-4.151184
5.1295776,-4.1522827
5.216369,-4.1524963
5.3031607,-4.151886
5.3899527,-4.1504517
5.476744,-4.148285
5.5635357,-4.1454163
5.650327,-4.1418457
5.7371187,-4.137665
5.8239107,-4.1328735
5.910702,-4.1275024
5.9974937,-4.121582
6.0842853,-4.1151733
6.1710773,-4.108246
6.3446603,-4.097229
6.518244,-4.080841
6.691827,-4.0628967
6.86541,-4.043579
7.0389934,-4.023224
7.2125764,-4.0026245
7.38616,-3.9820251
7.7333264,-3.9484558
8.080493,-3.9010315
8.427659,-3.853119
8.774826,-3.8052063
9.121992,-3.7576904
9.469159,-3.7108765
10.163492,-3.6420288
10.857824,-3.5544739
11.552157,-3.4734802
12.2464905,-3.400238
12.940824,-3.335083
13.635157,-3.2773743
15.023823,-3.200348
16.412489,-3.1174927
17.801155,-3.0519714
19.189821,-3.0003662
20.578487,-2.9594727
23.355818,-2.9100342
26.13315,-2.8645325
28.910482,-2.833191
31.687815,-2.8113403
34.465145,-2.795166
