depth,T_ice
0.076600425,-4.6557617
0.15681489,-4.095154
0.2589032,-3.9490662
0.36099154,-4.0826416
0.4375578,-4.2597656
0.51412404,-4.418579
0.59069026,-4.582306
0.6672565,-4.7579346
0.7693448,-4.9851074
0.87143314,-5.286865
0.9824188,-5.6444397
1.0934044,-6.0565796
1.2043902,-6.4971924
1.3153758,-6.9563904
1.4263614,-7.426422
1.5373471,-7.9014893
1.6483327,-8.377289
1.7593184,-8.850647
1.870304,-9.319275
1.9812897,-9.781433
2.0922754,-10.235931
2.203261,-10.681885
2.3142467,-11.118713
2.4252324,-11.545929
2.536218,-11.963196
2.6472037,-12.3703
2.704065,-12.670258
2.7609267,-12.870728
2.8177881,-13.068359
2.8746498,-13.263184
2.9315114,-13.45517
2.9883728,-13.644257
3.0452344,-13.830444
3.1020958,-14.013733
3.1589575,-14.194061
3.215819,-14.371429
3.2726805,-14.545837
3.329542,-14.717224
3.3864036,-14.88562
3.4432652,-15.050995
3.5001266,-15.213348
3.5569882,-15.37265
3.6138496,-15.5289
3.6707113,-15.682098
3.7275727,-15.832245
3.7844343,-15.97934
3.8412957,-16.123383
3.8981574,-16.264343
3.9550188,-16.402313
4.0118804,-16.5372
4.068742,-16.669098
4.1256037,-16.797974
4.182465,-16.923828
4.2393265,-17.046722
4.296188,-17.166626
4.3530498,-17.283585
4.409911,-17.397614
4.4667726,-17.508743
4.5252595,-17.61853
4.583746,-17.726837
4.7007194,-17.884796
4.8176928,-18.083603
4.934666,-18.270844
5.0516396,-18.446777
5.168613,-18.61171
5.2855864,-18.7659
5.4025598,-18.909683
5.6365066,-19.110184
5.8704534,-19.338928
6.1044006,-19.531677
6.3383474,-19.690979
6.579391,-19.82135
6.8204346,-19.923584
7.302522,-20.035828
7.78461,-20.091293
8.266697,-20.071365
8.763714,-19.99144
9.260731,-19.863434
9.757747,-19.701859
10.254764,-19.517654
11.248796,-19.220627
12.24283,-18.810501
13.298772,-18.40483
14.354713,-18.022446
15.74338,-17.672226
17.132046,-17.364899
18.520712,-17.09967
19.909376,-16.86734
21.298042,-16.660156
22.686708,-16.472351
24.075375,-16.30008
25.46404,-16.14087
28.241373,-15.919617
31.018705,-15.666321
33.796036,-15.450562
36.573368,-15.2677
39.3507,-15.112518
42.128033,-14.979401
44.905365,-14.862701
47.682697,-14.756836
