depth,dgrain
0.15176989,0.40163654
0.30963412,0.4140872
0.4644928,0.49425688
0.61658585,0.67703384
0.76644343,0.79085106
0.91515154,0.8512698
1.0629232,0.90050936
1.2088854,0.9234014
1.3535143,0.94991624
1.4957732,1.0104185
1.636114,1.0720153
1.7748464,1.1043193
1.912337,1.1484092
2.0483427,1.1699784
2.1825933,1.2238454
2.3152454,1.2718253
2.4465253,1.3065943
2.7405005,1.3400333
2.8671637,1.3635957
2.9926786,1.3785301
3.117423,1.4188497
3.2407467,1.4371059
3.363193,1.454771
3.4851854,1.4596753
3.6059377,1.4736401
3.7258742,1.4989244
3.8451219,1.5321809
3.963386,1.5477303
4.081212,1.5668067
4.198112,1.5731266
4.3142567,1.5884116
4.4298267,1.5999202
4.5449467,1.614772
4.6591372,1.6271647
4.772978,1.643585
4.8863363,1.6496439
4.9991126,1.6628511
5.201262,1.6810458
5.3123384,1.6967523
5.423024,1.7308108
5.5335464,1.7500634
5.6430755,1.7579585
5.752381,1.7686858
5.8610797,1.7835829
5.9694033,1.7990242
6.0771666,1.8266598
6.1846337,1.838548
6.291561,1.8512263
6.398051,1.8750242
6.5041122,1.8986479
6.6099486,1.9115881
6.7300787,1.9158747
6.835034,1.918563
6.939643,1.9446812
7.043894,1.9617211
7.147826,1.9684745
7.252063,1.9805588
7.355397,1.9891294
7.458332,2.0106056
7.560961,2.0256093
7.6633744,2.0357606
7.863794,2.0447638
7.965967,2.0493805
8.067187,2.0642476
8.168089,2.0773208
19.165825,2.5453227
19.24985,2.9406095
19.500835,2.957205
19.667482,2.9706473
20.001272,2.9962888
20.08349,3.0682998
20.414406,3.1549797
20.497568,3.1526356
20.9121,3.1804454
20.994802,3.23099
21.490835,3.2419593
22.086012,3.2671032
22.23832,3.2927537
22.978552,3.3178258
23.200888,3.348837
24.25448,3.3860297
26.418163,3.3677642
26.856926,3.363816
27.791035,3.363816
28.285332,3.363816
28.823494,3.363816
29.373756,3.363816
29.967333,3.363816
30.584543,3.363816
31.18088,3.363816
34.079815,3.363816
34.874706,3.363816
35.665825,3.363816
38.392994,3.363816
40.35095,3.363816
49.533974,3.363816
57.841106,3.363816
73.159195,3.363816
81.16811,3.363816
85.505585,3.363816
