depth,rhofirn
0.15181926,316.5859
0.3097618,319.59814
0.46506017,323.62375
0.6170557,328.96268
0.7669671,333.527
0.91579056,336.8349
1.0637021,339.639
1.2107009,342.5338
1.3552383,346.24973
1.4976145,351.1656
1.6381598,355.96494
1.7770581,359.9782
1.9145904,363.5382
2.0514014,367.20416
2.1858878,371.7508
2.318797,376.2137
2.4503448,380.0809
2.746578,387.22955
2.8734002,394.27847
2.9990482,398.07388
3.1236196,401.41196
3.2475033,404.42416
3.3704917,407.2239
3.4926102,409.91293
3.6138313,412.705
3.7341027,415.7246
3.8538167,418.63364
3.972572,421.29163
4.091279,423.79337
4.208583,426.2289
4.325341,428.75586
4.44125,431.32996
4.556884,433.77972
4.6716022,436.0559
4.785978,438.18976
4.9000983,440.2314
5.0132575,442.20593
5.2183914,445.31018
5.3299384,448.41125
5.4409456,450.45877
5.551524,452.3795
5.6616755,454.2371
5.77189,456.14923
5.881238,458.09814
5.989935,459.95642
6.0984144,461.70383
6.2063494,463.41666
6.3139677,465.19296
6.42108,466.97223
6.527808,468.6558
6.634316,470.2879
6.756213,472.022
6.8617716,473.7146
6.9669585,475.2696
7.0718436,476.78024
7.1764417,478.2274
7.2815385,479.6553
7.385503,481.11133
7.4891295,482.57455
7.592423,483.99146
7.6955175,485.3552
7.795778,486.72946
7.899185,488.10806
8.001842,489.46988
8.103704,490.83163
8.205291,492.15143
8.306878,493.41745
19.598707,545.63116
19.684092,585.4881
19.76941,585.95624
19.854658,586.4215
19.93984,586.8869
20.024954,587.3549
20.11,587.82086
20.279894,588.509
20.364742,589.1911
21.377834,592.1517
22.408052,597.4006
23.827291,603.4414
24.814053,609.1282
26.460981,620.8231
28.569818,625.77277
31.213585,631.4962
32.75983,636.12537
34.468647,639.4932
37.301647,656.8951
40.528202,666.8586
52.69611,698.0495
57.631733,727.35364
61.203114,732.8423
66.86544,758.5983
70.916374,772.55725
75.044716,813.40704
79.4696,813.55835
84.20746,813.7058
91.70072,839.5467
99.76875,860.31
105.56785,864.0789
108.606285,864.1083
111.73991,864.1274
