depth,T_ice
0.09928813,0.0
0.18607976,0.0062561035
0.27287138,-0.48373413
0.359663,-0.82876587
0.4464546,-1.1547546
0.5332462,-1.4598999
0.62003785,-1.7458496
0.7068295,-2.0159607
0.7936211,-2.2738953
0.88041276,-2.522522
0.9672044,-2.763733
1.053996,-2.998352
1.1407876,-3.226654
1.2275792,-3.4484253
1.3143709,-3.6634521
1.4011625,-3.8714905
1.4879541,-4.0723877
1.5747458,-4.266083
1.6615373,-4.4526367
1.7483289,-4.6321716
1.8351206,-4.80484
1.9219122,-4.970825
2.008704,-5.1303406
2.0954955,-5.2836304
2.182287,-5.430847
2.2690787,-5.5722046
2.3558702,-5.707947
2.442662,-5.8382263
2.5294535,-5.9632263
2.6162453,-6.08313
2.7030368,-6.1980896
2.7898285,-6.308258
2.87662,-6.413788
2.9634118,-6.5148315
3.0502033,-6.611511
3.1369948,-6.7039185
3.2237866,-6.7922363
3.310578,-6.8765564
3.3973699,-6.9569397
3.4841614,-7.0335693
3.5709531,-7.1065063
3.6577446,-7.175873
3.7445364,-7.2417603
3.831328,-7.3042603
3.9181197,-7.3634644
4.004911,-7.4194946
4.091703,-7.472412
4.1784945,-7.522339
4.265286,-7.5693665
4.3520775,-7.613556
4.4388695,-7.6550293
4.525661,-7.6938477
4.6124525,-7.730133
4.699244,-7.763916
4.786036,-7.795349
4.8728275,-7.824463
4.959619,-7.851349
5.0464106,-7.8760986
5.133202,-7.8988037
5.219994,-7.919525
5.3067856,-7.938324
5.393577,-7.9553223
5.4803686,-7.9705505
5.5671606,-7.98407
5.653952,-7.9959717
5.7407436,-8.006317
5.827535,-8.015198
5.9143267,-8.022614
6.0011187,-8.028687
6.08791,-8.033447
6.1747017,-8.036987
6.261493,-8.039307
6.4350767,-8.041077
6.6086597,-8.039185
6.7822433,-8.033386
6.9558263,-8.024048
7.12941,-8.011688
7.302993,-7.997101
7.4765763,-7.980652
7.8237424,-7.9507446
8.170909,-7.903076
8.518076,-7.8502502
8.865242,-7.793396
9.212409,-7.733673
9.906741,-7.6411743
10.601074,-7.515167
11.295407,-7.3903503
11.98974,-7.268921
12.684073,-7.153076
13.378407,-7.0474243
14.07274,-6.9533997
15.461406,-6.8128357
16.85007,-6.640167
18.238737,-6.4839783
19.627403,-6.34021
21.01607,-6.208557
22.404736,-6.086548
25.182068,-5.905609
27.959398,-5.6731567
30.73673,-5.4532776
