depth,rhofirn
0.09090641,378.8528
0.25761503,457.80325
0.40736303,466.56702
0.49550375,522.4945
0.58354527,522.70197
0.7299891,530.0854
0.86833787,536.1183
1.0222801,541.9388
1.1116734,553.2037
1.2000457,556.5459
1.3570426,588.63715
1.4993219,591.29346
1.765103,596.97327
1.9392979,603.81195
2.1134887,603.8729
2.4020648,613.2021
2.6220398,635.5498
2.8420136,635.5795
3.281065,635.70074
3.7076335,637.909
4.136712,638.02924
4.5215244,649.314
5.0293126,656.40216
5.292586,671.861
5.8189116,679.10516
6.3748546,716.69934
6.9330773,716.6261
8.016361,716.2792
8.770647,716.49133
8.826194,900.0
8.881741,900.0
8.992833,900.0
9.159473,900.0
9.270567,900.0
9.326114,900.0
9.38166,900.0
9.5483,900.0
9.659393,900.0
9.770487,900.0
9.948653,900.0
10.020683,900.0
10.100563,900.0
10.188843,900.0
10.286093,900.0
10.3928995,900.0
10.50987,900.0
10.6376295,900.0
10.776823,900.0
10.928111,900.0
11.092176,900.0
11.269718,900.0
11.564791,900.0
12.129305,900.0
12.385383,900.0
12.659528,900.0
12.952571,900.0
13.265363,900.0
13.59877,900.0
13.953679,900.0
14.330996,900.0
14.731643,900.0
15.156564,900.0
15.60672,900.0
16.083092,900.0
16.586676,900.0
17.118488,900.0
17.67957,900.0
18.270971,900.0
18.893766,900.0
19.549047,900.0
20.237923,900.0
20.961525,900.0
21.721,900.0
22.517515,900.0
23.352255,900.0
26.195044,900.0
28.163662,900.0
30.22937,900.0
32.31663,900.0
35.401127,900.0
38.206543,900.0
41.220993,900.0
44.459408,900.0
47.130844,900.0
49.802284,900.0
51.769566,900.0
53.73685,900.0
55.738663,900.0
57.809532,900.0
59.95132,900.0
62.20416,900.0
64.533516,900.0
66.94126,900.0
69.42927,900.0
71.99939,900.0
74.653496,900.0
77.393456,900.0
80.22113,900.0
83.1384,900.0
86.14712,900.0
