depth,T_ice
0.18177588,-10.366211
0.43701994,-9.190704
0.58685106,-9.914368
0.7343293,-10.558411
0.88010836,-11.228149
1.0247597,-11.887207
1.16872,-12.51474
1.3110902,-13.105408
1.4529631,-13.664459
1.5948038,-14.200378
2.0051556,-15.07428
2.1487665,-15.857452
2.2837753,-16.246704
2.412706,-16.61322
2.5408685,-16.95935
2.6679735,-17.286896
2.7943878,-17.59616
2.9197106,-17.88736
3.0441892,-18.16072
3.1682,-18.417297
3.3816278,-18.703857
3.5023737,-18.953384
3.6223013,-19.140915
3.741527,-19.314545
3.8599534,-19.475143
3.9776537,-19.62352
4.0947485,-19.76059
4.2114453,-19.887177
4.327433,-20.00386
4.7158604,-20.228973
4.829203,-20.399078
4.941795,-20.46959
5.053928,-20.533371
5.1656394,-20.590988
5.277247,-20.642914
5.388154,-20.689423
5.4988337,-20.73088
5.609914,-20.767792
5.719434,-20.800201
5.8286314,-20.828384
6.161245,-20.87181
6.2685304,-20.895264
6.3756113,-20.90506
6.482182,-20.912277
6.5889926,-20.917114
6.694972,-20.919754
6.8008904,-20.920395
6.9060373,-20.919205
7.0270643,-20.916168
7.323997,-20.907104
7.427681,-20.891525
7.5318575,-20.882446
7.635649,-20.872482
7.738803,-20.861786
7.8417883,-20.850449
7.9440775,-20.838577
8.046438,-20.826248
8.148268,-20.813522
8.2498665,-20.800507
8.351237,-20.787231
8.641514,-20.762787
8.741805,-20.73764
8.842419,-20.723984
8.943013,-20.710342
9.04297,-20.696808
9.386597,-20.668808
9.485257,-20.641983
9.583748,-20.629654
9.682183,-20.6176
9.780347,-20.60582
9.878953,-20.594315
9.976636,-20.583115
10.074319,-20.57228
10.171893,-20.561768
10.269524,-20.551575
10.509962,-20.534866
10.606587,-20.519592
10.703125,-20.511047
10.799261,-20.502869
10.895438,-20.495056
10.991507,-20.48758
11.08775,-20.480438
11.183436,-20.473663
11.278784,-20.467255
11.408312,-20.460281
11.503334,-20.453842
11.5981655,-20.448563
24.025057,-20.177994
30.356274,-19.862991
33.622158,-19.722183
34.997097,-19.663345
35.92375,-19.636368
40.28877,-19.577133
60.252098,-19.392258
63.791893,-19.70227
67.93294,-19.819778
72.070816,-19.973114
87.36644,-20.377655
95.36942,-21.10025
99.70409,-21.491028
