depth,snowc
0.3785983,0.10243657
0.52705765,0.05059821
0.81466913,0.10001873
0.956597,0.05008599
1.0970975,0.050027307
1.2951195,0.068532884
1.54853,0.06960574
1.6943455,0.050017007
1.8308922,0.050157305
1.9629273,0.05023709
2.0970871,0.05006101
2.2252123,0.050302368
2.5057805,0.10937089
2.7587097,0.068148285
2.9102361,0.050047316
3.0486355,0.05004329
3.1701415,0.05000205
3.2924542,0.0500075
3.5594115,0.08588975
3.6916997,0.05010809
3.9363055,0.10008785
4.053108,0.05011159
4.161434,0.050048288
4.2694707,0.050088294
4.3775835,0.05029882
4.690998,0.11053627
4.807137,0.05001915
4.923781,0.050141778
5.0374312,0.050017312
5.256079,0.10022045
5.4941745,0.1024191
5.696392,0.08450016
6.506763,0.40093118
6.6484103,0.040627807
6.7761703,0.05008779
6.8771224,0.050088342
6.976017,0.050066482
7.365106,0.14057602
7.464366,0.050147094
7.561703,0.05008266
7.658693,0.05000769
8.006681,0.15095814
8.102778,0.050083786
8.198538,0.05000586
8.2942505,0.05007634
8.390826,0.050622936
8.486667,0.050330874
8.657413,0.07781726
8.752817,0.05004901
8.847828,0.050266113
8.942406,0.050126027
9.036672,0.050047975
9.130747,0.050031822
9.316601,0.09810546
9.501245,0.096420646
9.684392,0.060806874
9.797315,0.050026555
10.30938,0.2505138
10.560821,0.10243226
10.835512,0.15061577
11.149579,0.16864441
11.342243,0.06960694
12.072106,0.36014426
12.950092,0.35411838
13.62022,0.35074
14.3663025,0.36092448
15.431162,0.58783317
16.198524,0.3314043
17.924639,0.97872627
19.593245,0.87939477
20.44662,0.42983624
21.27147,0.35557878
26.959166,3.1739173
27.966875,0.65
30.885757,1.9081495
31.173918,0.2001545
31.500893,0.2149735
31.843042,0.2305065
33.490967,1.092224
39.373867,4.051006
44.27705,3.3918972
48.06905,2.6766417
53.905373,4.1433473
58.106396,3.01182
61.446728,2.43792
64.78391,2.43792
68.43239,2.71344
72.333626,2.91504
76.48331,3.13008
80.76956,3.35856
84.174225,2.74782
87.57745,2.74782
92.44206,3.98856
97.63658,4.26408
100.36317,2.23956
105.86343,4.70256
108.72585,2.46636
111.67661,2.58564
114.627144,2.58564
117.71722,2.70828
