depth,dgrain
0.16011755,0.10293354
0.38292196,0.41218477
0.5627155,0.56528217
0.7147276,0.63066256
0.86458796,0.65915656
1.0137818,0.7355743
1.1607683,0.76441324
1.3058307,0.7866542
1.4498254,0.82284266
1.59349,0.844043
1.73563,0.8612727
1.8770248,0.8872553
2.0173094,0.90425617
2.3215108,0.95277786
2.455788,1.007132
2.588778,1.0129408
2.7211726,1.0262043
2.8515983,1.0435703
2.9807734,1.0579971
3.1092937,1.0740789
3.236706,1.0819299
3.3633044,1.0939015
3.489843,1.113078
3.6152523,1.1180987
3.7399695,1.1297798
3.863988,1.135269
3.9870791,1.1560545
4.3199863,1.1794375
4.4406013,1.214729
4.5608826,1.222355
4.6797748,1.2344666
4.798001,1.2536484
4.91576,1.2637949
5.0334535,1.2694633
5.1509953,1.2749913
5.2669845,1.2824012
5.382307,1.2897793
5.499957,1.2919272
5.6146436,1.2945583
5.7287016,1.3101246
5.964549,1.3331243
6.077624,1.3643261
6.189681,1.3759319
6.3026276,1.3812572
6.414361,1.3824861
6.52507,1.3893285
6.6359124,1.4041401
6.7461915,1.412041
6.8558064,1.4142005
6.965268,1.4184998
7.075558,1.4199709
7.185654,1.4267474
7.294036,1.4338171
7.402128,1.442032
7.509879,1.4498335
7.7520623,1.4698576
7.8586664,1.495102
7.9651,1.507312
8.072158,1.5090917
8.179033,1.5235475
8.284841,1.5312933
8.391442,1.5322435
8.498615,1.5336666
8.603255,1.5357714
8.708958,1.5431489
8.813467,1.5468725
8.918445,1.5559043
9.022152,1.5597724
9.144079,1.5664299
9.247281,1.5702406
9.368833,1.5808752
9.471465,1.587574
9.573871,1.597843
9.676439,1.6070284
9.778499,1.617916
9.880691,1.6217508
9.983773,1.626422
10.085258,1.6283383
10.186483,1.6331149
10.287853,1.640048
45.88395,2.3950658
47.042465,2.9723651
48.083527,2.9996152
49.50113,3.0281727
51.68547,3.070408
53.65647,3.1062727
56.138622,3.1377995
77.37998,3.2614558
80.746635,3.365443
86.1483,3.596878
90.05453,3.983006
103.196754,3.9845788
108.16503,3.9845788
113.27133,3.9845788
121.351425,3.9845788
127.103386,3.9845788
130.11961,3.9845788
133.09874,3.9845788
136.17212,3.9845788
139.3417,3.9845788
