depth,density_bulk
0.20893036,492.80847
0.365928,373.11948
0.5107634,345.47818
0.6540454,350.31067
0.79538566,354.3771
0.9354852,358.08188
1.0740621,361.68958
1.2114837,365.17307
1.3688779,401.1575
1.5976995,436.86777
1.8098872,539.22784
1.950038,475.8065
2.0912762,494.62787
2.2237318,476.92062
2.3542836,479.84387
2.722212,469.50116
3.0724869,482.45596
3.2830646,592.322
3.413371,519.9548
3.5373566,512.14294
3.7972958,540.54425
3.9911366,624.83606
4.195692,552.3635
5.0273485,537.8341
5.130048,487.32126
5.2324343,488.51166
5.457368,542.1941
5.700271,560.5899
5.817636,552.03125
5.927777,535.75616
6.454514,529.7929
6.6151567,628.28284
6.725673,552.9769
6.824045,510.64746
6.9221864,511.72113
7.020505,512.76746
7.118185,513.7868
7.215395,514.7802
7.312341,515.7517
7.4091353,516.70593
7.5067925,517.6551
7.75391,524.25104
7.8499894,520.988
8.075591,673.53754
8.187905,583.6846
8.673663,681.6029
9.114262,590.89215
9.228844,539.3136
9.517652,630.0251
9.621773,578.14667
9.717404,554.55963
9.809505,543.46875
9.901465,544.2059
9.99344,544.93933
10.085261,545.67444
10.242165,650.63654
10.344776,587.1312
10.448398,591.0466
10.539551,549.8503
10.6303625,550.55853
10.721627,551.2603
10.90392,552.30426
11.02667,579.4794
11.2354965,697.01855
12.151097,566.9022
12.297844,701.8959
12.926463,571.6604
14.334991,625.9289
15.981351,654.7489
17.19411,627.37854
18.396315,616.9496
19.155783,725.88245
22.995876,647.914
24.301294,675.4237
25.770145,700.2212
28.110338,663.559
32.195164,692.4176
33.101883,661.62024
37.457767,668.9498
44.075157,692.4801
47.76266,704.7634
53.247955,712.9121
56.693455,720.7404
60.225746,737.55756
63.58218,747.7432
68.96134,750.7649
72.32428,806.7366
77.75127,820.2793
81.69886,821.29065
85.694855,870.1908
89.04008,849.9054
92.38459,850.08594
97.19684,856.9756
102.29306,864.596
105.014015,850.10834
107.72731,880.3693
110.63969,846.71844
113.46736,900.0
116.43279,885.38367
119.499756,882.90674
