depth,T_ice
0.27844986,-2.0458984
0.42694256,-7.10907
0.57318765,-8.443237
0.7172168,-8.886536
0.8598707,-9.272156
1.001689,-9.754089
1.1424404,-10.288605
1.2813826,-10.823944
1.5215421,-11.514435
1.9619856,-12.513519
2.1078603,-13.236206
2.2425091,-13.569794
2.3745098,-13.8811035
2.4979088,-14.176147
2.6200478,-14.454102
2.7414541,-14.716583
2.8621151,-14.9644165
2.9819505,-15.197876
3.101024,-15.417328
3.22004,-15.62384
3.3561842,-15.80188
3.4917526,-15.962524
3.6248853,-16.11789
3.7657225,-16.258057
4.0228715,-16.4422
4.614043,-16.751678
4.728349,-16.91153
4.835286,-16.963623
4.942246,-17.010376
5.0495186,-17.052826
5.1563206,-17.091156
5.262284,-17.125427
5.3675575,-17.155884
5.709129,-17.210236
5.8320346,-17.244934
6.3897038,-17.285019
6.5927033,-17.293106
6.8440666,-17.291595
6.9449015,-17.285492
7.0450115,-17.280777
7.144764,-17.275253
7.244914,-17.268951
7.34433,-17.261993
7.44344,-17.254486
7.5422025,-17.24649
7.6410294,-17.238083
7.740928,-17.229248
7.839515,-17.220123
7.937419,-17.210846
8.256962,-17.19487
8.375291,-17.177872
8.47346,-17.167831
8.840407,-17.147247
8.936218,-17.127289
9.03172,-17.118164
9.126965,-17.109222
9.411874,-17.091827
9.72807,-17.067719
10.292686,-17.035522
10.464594,-17.014282
11.123095,-16.99295
11.498519,-16.97647
12.137838,-16.965363
13.128923,-16.958832
13.6118145,-16.96518
14.443373,-16.974213
15.68442,-16.99356
16.295221,-17.012787
17.15613,-17.028534
18.392223,-17.048553
19.285898,-17.063263
22.226385,-17.08258
23.124771,-17.08081
24.41298,-17.07666
25.494658,-17.068054
28.014744,-17.049683
28.863422,-17.022797
33.126,-16.978516
37.517746,-16.87439
43.595715,-16.733002
47.293625,-16.591858
50.811035,-16.487518
54.647713,-16.379822
59.37525,-16.251709
63.06548,-16.124207
69.11229,-15.976379
72.47648,-15.831329
77.905106,-15.70462
81.85411,-15.561371
85.850624,-15.440552
89.196724,-15.327484
92.54219,-15.218201
97.35591,-15.081848
102.45382,-14.912018
105.176346,-14.772919
107.8905,-14.675934
110.80532,-14.573669
113.633,-14.470367
116.59973,-14.369843
119.66837,-14.262634
