depth,density_bulk
0.27844986,407.67978
0.42694256,337.27798
0.57318765,342.78827
0.7172168,347.22574
0.8598707,350.9109
1.001689,354.27487
1.1424404,357.5275
1.2813826,360.61908
1.5215421,376.90344
1.9619856,477.87848
2.1078603,461.37476
2.2425091,441.2865
2.3745098,434.01392
2.4979088,406.73657
2.6200478,409.57248
2.7414541,412.25146
2.8621151,414.83838
2.9819505,417.3613
3.101024,419.8762
3.22004,422.50165
3.3561842,576.54834
3.4917526,505.8556
3.6248853,510.04248
3.7657225,536.2321
4.0228715,516.9449
4.614043,562.12256
4.728349,486.75085
4.835286,467.49493
4.942246,469.0797
5.0495186,470.64697
5.1563206,472.1987
5.262284,473.7323
5.3675575,475.25983
5.709129,507.97528
5.8320346,542.4423
6.3897038,522.90765
6.5927033,511.5868
6.8440666,556.405
6.9449015,499.6036
7.0450115,500.85016
7.144764,502.0511
7.244914,503.21738
7.34433,504.35068
7.44344,505.4529
7.5422025,506.5301
7.6410294,507.59137
7.740928,508.64612
7.839515,509.68744
7.937419,510.70633
8.256962,656.3939
8.375291,586.51434
8.47346,524.15497
8.840407,595.4083
8.936218,523.3073
9.03172,524.2606
9.126965,525.1935
9.411874,526.9872
9.72807,588.65405
10.292686,534.37634
10.464594,618.974
11.123095,547.3842
11.498519,619.9951
12.137838,550.3333
13.128923,570.5764
13.6118145,623.3
14.443373,582.4478
15.68442,649.4387
16.295221,584.4442
17.15613,617.69244
18.392223,603.6609
19.285898,670.33435
22.226385,625.6163
23.124771,629.4219
24.41298,648.63916
25.494658,698.57324
28.014744,648.7578
28.863422,705.8456
33.126,659.40704
37.517746,663.48694
43.595715,689.1054
47.293625,699.6364
50.811035,716.7935
54.647713,714.15717
59.37525,725.18713
63.06548,740.99255
69.11229,748.98895
72.47648,806.4365
77.905106,820.03125
81.85411,820.997
85.850624,870.0778
89.196724,849.6847
92.54219,849.8432
97.35591,856.71234
102.45382,864.3107
105.176346,849.6181
107.8905,880.08826
110.80532,846.0088
113.633,900.0
116.59973,884.99384
119.66837,882.4248
