depth,dgrain
0.30972287,0.49349096
0.45868188,0.63367254
0.60540074,0.6739475
0.75013727,0.73535734
0.89357597,0.789253
1.0361583,0.84297097
1.1786826,0.85179573
1.3181273,0.8635211
1.5527762,0.90065867
1.8628745,0.9632456
2.0265086,1.0246623
2.1632063,1.0537277
2.2985168,1.0433706
2.4238799,1.0735701
2.5477548,1.0763627
2.670658,1.0892978
2.7928262,1.1117504
2.914159,1.1165714
3.034753,1.1291358
3.1546564,1.1412016
3.2748787,1.1599922
3.483878,1.203925
3.6199968,1.3065107
3.760938,1.3245358
3.894286,1.3242332
4.1416035,1.3313079
4.6112757,1.3440411
5.474952,1.4245968
5.841003,1.477035
5.957794,1.5127044
6.4104424,1.5573051
6.520344,1.5569024
6.9250803,1.5734022
7.0282583,1.6036704
7.129818,1.6120335
7.2306356,1.6141417
7.331391,1.620523
7.4313555,1.6238785
7.531483,1.6284822
7.631217,1.6353447
7.730499,1.6414864
7.830073,1.6464361
7.9289246,1.6486516
8.027637,1.65477
8.127121,1.662002
8.342601,1.6830773
8.459589,1.7299143
8.560863,1.7353766
8.65839,1.7476655
9.037969,1.7627325
9.134086,1.7774386
9.230105,1.7900606
9.326085,1.8095404
9.421694,1.8214135
9.51841,1.8239214
9.61381,1.8282322
9.950255,1.8401749
10.046923,1.8734542
10.141698,1.8789377
10.236026,1.8947173
10.424115,1.9009643
10.517971,1.9092894
10.700545,1.9286774
11.356104,1.9595022
11.737346,1.9829658
12.38026,2.0167572
13.389465,2.064791
13.766275,2.1033356
14.706887,2.1378546
15.879556,2.2034864
16.573257,2.2491527
17.792864,2.2974994
18.813658,2.341573
19.621855,2.3954415
23.505247,2.5192616
28.093893,2.7895968
32.664925,2.7895968
33.582516,3.164095
37.983215,3.3349657
42.7137,3.363816
47.441376,3.363816
51.51139,3.363816
55.570473,3.363816
59.667156,3.363816
63.17496,3.363816
69.5643,3.363816
72.92885,3.363816
78.35801,3.363816
82.307465,3.363816
86.30415,3.363816
89.65051,3.363816
92.996346,3.363816
97.810585,3.363816
102.90907,3.363816
105.63215,3.363816
108.34661,3.363816
111.26229,3.363816
114.089966,3.363816
117.05715,3.363816
120.126366,3.363816
