depth,rhofirn
0.30972287,323.98135
0.45868188,335.6577
0.60540074,341.14865
0.75013727,345.5752
0.89357597,349.25494
1.0361583,352.60162
1.1786826,355.84186
1.3181273,358.91183
1.5527762,363.5385
1.8628745,375.19897
2.0265086,388.73648
2.1632063,395.92984
2.2985168,398.13504
2.4238799,400.87854
2.5477548,403.98407
2.670658,406.82974
2.7928262,409.50613
2.914159,412.0759
3.034753,414.56448
3.1546564,417.0194
3.2748787,419.57086
3.483878,425.7259
3.6199968,434.96616
3.760938,440.10324
3.894286,444.16602
4.1416035,447.09482
4.6112757,452.54767
5.474952,464.94196
5.841003,475.00644
5.957794,479.6467
6.4104424,484.88086
6.520344,488.305
6.9250803,491.84952
7.0282583,495.44333
7.129818,496.77502
7.2306356,498.0406
7.331391,499.2626
7.4313555,500.4449
7.531483,501.59372
7.631217,502.71756
7.730499,503.8165
7.830073,504.89746
7.9289246,505.96402
8.027637,507.01382
8.127121,508.05695
8.342601,510.23416
8.459589,512.6679
8.560863,513.8953
8.65839,514.9506
9.037969,517.7565
9.134086,520.4629
9.230105,521.44183
9.326085,522.4006
9.421694,523.33435
9.51841,524.25195
9.61381,525.1551
9.950255,527.37036
10.046923,529.5933
10.141698,530.4858
10.236026,531.34564
10.424115,532.60535
10.517971,533.8529
10.700545,535.2464
11.356104,539.0508
11.737346,543.4522
12.38026,547.9181
13.389465,554.5351
13.766275,559.78033
14.706887,565.0093
15.879556,572.6056
16.573257,578.8552
17.792864,584.7544
18.813658,591.21326
19.621855,596.35803
23.505247,607.98376
28.093893,634.2581
32.664925,636.91406
33.582516,653.7807
37.983215,662.1379
42.7137,693.0384
47.441376,693.4507
51.51139,708.73206
55.570473,710.6409
59.667156,724.04974
63.17496,730.19946
69.5643,762.999
72.92885,806.3501
78.35801,819.95044
82.307465,820.90326
86.30415,870.0408
89.65051,849.6164
92.996346,849.7508
97.810585,856.6216
102.90907,864.21094
105.63215,849.4464
108.34661,879.99023
111.26229,845.76
114.089966,900.0
117.05715,884.85895
120.126366,882.25903
