depth,T_ice
0.11117065,-1.8414307
0.182574,-0.45755005
0.25947046,-0.73617554
0.33636692,-1.0849609
0.41838983,-1.4673462
0.5004127,-1.8547363
0.59268844,-2.2427063
0.6849642,-2.622345
0.7874928,-2.9963074
0.89002144,-3.368103
0.99255,-3.725586
1.0540673,-4.00354
1.1155844,-4.2089844
1.1771015,-4.4116516
1.2334923,-4.6033325
1.289883,-4.784485
1.3462738,-4.9634094
1.4154806,-5.1601562
1.4846873,-5.373535
1.5718367,-5.610565
1.658986,-5.8690186
1.7512618,-6.128937
1.8435376,-6.389435
1.9358133,-6.643036
1.9973304,-6.8485107
2.0588477,-7.009796
2.1203647,-7.1679688
2.181882,-7.3230286
2.2433991,-7.475067
2.3049164,-7.6240234
2.3869393,-7.794281
2.468962,-7.9835815
2.5509849,-8.167664
2.6330078,-8.346588
2.7150307,-8.520447
2.7970536,-8.68927
2.8790765,-8.85318
2.9610994,-9.012207
3.0431223,-9.166382
3.1251452,-9.315765
3.207168,-9.460388
3.289191,-9.60025
3.371214,-9.735443
3.4532368,-9.865936
3.5145905,-9.975952
3.5759444,-10.067474
3.637298,-10.156464
3.698652,-10.242859
3.7600057,-10.326721
3.8213596,-10.408051
3.8827133,-10.486847
3.9440672,-10.563141
4.0257635,-10.6492
4.1074595,-10.743164
4.1891556,-10.832825
4.2708516,-10.918243
4.434244,-11.040161
4.597636,-11.186493
4.761029,-11.317322
4.9244213,-11.433289
5.0878134,-11.535248
5.251206,-11.623932
5.5779905,-11.738312
5.904775,-11.845917
6.2315598,-11.915009
6.5583444,-11.951508
6.885129,-11.960907
7.2119136,-11.94809
7.538698,-11.917358
8.10372,-11.856232
8.66874,-11.749908
9.233762,-11.62738
9.798783,-11.497742
10.928825,-11.302002
12.058868,-11.06189
13.1889105,-10.852997
14.3189535,-10.675018
15.582836,-10.514496
16.84672,-10.371643
18.110603,-10.250488
19.374487,-10.14502
21.902252,-9.99765
24.43002,-9.819672
27.356882,-9.649841
30.283745,-9.493134
32.846367,-9.368988
35.40899,-9.271057
37.97161,-9.190582
40.534233,-9.127289
42.712418,-9.084351
44.965256,-9.056427
47.294617,-9.040344
49.702362,-9.036896
52.19036,-9.046692
54.760483,-9.070007
57.41459,-9.106781
60.154552,-9.156555
62.98223,-9.218262
65.8995,-9.290466
68.90821,-9.371002
