depth,T_ice
0.24972269,-4.765625
0.43577567,-1.7001648
0.57855374,-1.015564
0.71388173,-0.512146
0.84169,0.0
0.96827805,0.0
1.0950031,0.0
1.4452254,0.0
1.589271,0.0
1.7271296,0.0
2.0385492,0.0
2.1665857,0.0
2.2963164,0.0
2.7473705,0.0
2.9176419,0.0
3.0490258,0.0
3.1748822,0.0
3.3018682,0.0
3.5678618,0.0
3.814173,0.0
4.1034317,0.0
4.3423653,-0.8055725
4.4786186,-1.3244019
4.94875,-2.319336
5.6836514,-4.258026
5.9078474,-5.526703
6.0027676,-5.923828
6.095162,-6.165497
6.190915,-6.398773
6.2830977,-6.6198425
6.37477,-6.8246765
6.4664617,-7.0175476
6.5579987,-7.1988525
6.8211255,-7.4895325
6.922547,-7.7219543
7.022163,-7.845459
7.3285713,-8.0390625
7.441058,-8.167389
7.5498285,-8.22879
7.7442513,-8.296814
7.8515563,-8.340149
7.9941716,-8.363464
10.116779,-8.469513
10.315958,-8.331726
10.40417,-8.313049
10.617965,-8.292999
10.749905,-8.272461
10.849147,-8.259796
10.941169,-8.248505
11.035401,-8.23761
11.127636,-8.22702
11.223593,-8.216797
11.521596,-8.198334
11.641829,-8.181549
11.756895,-8.172546
12.050331,-8.159515
12.28702,-8.144836
12.591731,-8.131836
12.804276,-8.122314
13.58364,-8.104492
13.847643,-8.094055
14.06945,-8.090698
14.297896,-8.088226
15.35429,-8.08194
15.716798,-8.079346
16.032076,-8.078247
19.475615,-8.072784
20.791222,-8.004211
21.824926,-7.9624634
22.508343,-7.930542
23.237005,-7.9026794
24.516394,-7.859619
25.374529,-7.8085938
26.168951,-7.768585
26.967941,-7.7326965
27.571527,-7.7015686
28.054043,-7.677185
28.234362,-7.6631775
32.986786,-7.5838623
36.64485,-7.462982
40.30292,-7.4246216
45.07675,-7.365265
49.85058,-7.341217
53.578846,-7.358612
57.307114,-7.3744507
61.581093,-7.462555
65.940254,-7.579773
68.813934,-7.719696
71.687614,-7.7879944
74.67429,-7.961792
77.66097,-8.040649
82.0556,-8.282013
86.79271,-8.572296
89.28071,-8.82193
91.85083,-9.004272
94.50494,-9.199829
97.244896,-9.408356
100.07257,-9.629395
102.98984,-9.862152
105.99856,-10.105652
