depth,snic
0.09674708,0.08680495
0.1835387,0.078125
0.2703303,0.078125
0.35712194,0.078125
0.44391358,0.078125
0.5307052,0.078125
0.6174968,0.078125
0.7042884,0.078125
0.79108006,0.078125
0.8778717,0.078125
0.9646633,0.078125
1.0514549,0.078125
1.1382465,0.078125
1.2250382,0.078125
1.3118298,0.078125
1.3986214,0.078125
1.4854131,0.078125
1.5722047,0.078125
1.6589963,0.078125
1.7457879,0.078125
1.8325795,0.078125
1.9193711,0.078125
2.006163,0.078125
2.0929544,0.078125
2.1797462,0.078125
2.2665377,0.078125
2.3533292,0.078125
2.440121,0.078125
2.5269125,0.078125
2.6137042,0.078125
2.7004957,0.078125
2.7872875,0.078125
2.874079,0.078125
2.9608707,0.078125
3.0476623,0.078125
3.1344538,0.078125
3.2212455,0.078125
3.308037,0.078125
3.3948288,0.078125
3.4816203,0.078125
3.568412,0.078125
3.6552036,0.078125
3.7419953,0.078125
3.8287868,0.078125
3.9155786,0.078125
4.0023704,0.078125
4.089162,0.078125
4.1759534,0.078125
4.262745,0.078125
4.3495364,0.078125
4.4363284,0.078125
4.52312,0.078125
4.6099114,0.078125
4.696703,0.078125
4.783495,0.078125
4.8702865,0.078125
4.957078,0.078125
5.0438695,0.078125
5.130661,0.078125
5.217453,0.078125
5.391036,0.15625
5.5646195,0.15625
5.7382026,0.15625
5.9117856,0.15625
6.085369,0.15625
6.258952,0.15625
6.6061187,0.3125
6.953285,0.3125
7.3004518,0.3125
7.6476183,0.3125
7.994785,0.3125
8.341951,0.3125
9.036284,0.625
9.730618,0.625
10.424951,0.625
11.119284,0.625
11.813616,0.625
12.507949,0.625
13.896615,1.25
15.285281,1.25
16.673946,1.25
18.062613,1.25
19.451279,1.25
20.839945,1.25
22.228611,1.25
25.005943,2.5
27.783276,2.5
30.560606,2.5
33.33794,2.5
36.115273,2.5
38.8926,2.5
41.669933,2.5
44.447266,2.5
47.224598,2.5
50.00193,2.5
52.779263,2.5
55.556595,2.5
58.333927,2.5
61.11126,2.5
63.88859,2.5
