depth,snowc
0.10071572,0.02565365
0.21254738,0.030609166
0.31367046,0.030609166
0.38897747,0.02156903
0.46307275,0.02156903
0.55087394,0.025119675
0.6385852,0.025119675
0.8056416,0.050322182
0.92019856,0.009420262
1.0527923,0.0063105086
1.2070707,0.006523044
1.3613468,0.006523044
1.5737056,0.009051842
1.7860637,0.009051842
2.0356443,0.0010607627
2.2852247,0.0010607627
2.5399456,0.0010607627
2.7946665,0.0010607627
3.2935114,0.0021215254
3.79994,0.0021215254
4.371145,0.0024043955
4.95896,0.0024043955
5.542222,0.0024043955
6.192299,0.0024043955
6.2478456,0.05
6.3033924,0.05
6.3589387,0.05
6.470032,0.1
6.5811253,0.1
6.636672,0.05
6.692219,0.05
6.7477655,0.05
6.8090754,0.055188
6.8703856,0.055188
6.9463406,0.0683704
7.0222955,0.0683704
7.1150603,0.0835016
7.2078247,0.0835016
7.3146315,0.0961415
7.4316025,0.1052905
7.559362,0.1150023
7.6289587,0.06264685
7.698555,0.06264685
7.774199,0.06809075
7.8498435,0.06809075
8.013908,0.1476825
8.191451,0.1598135
8.287319,0.08629565
8.486523,0.179312
8.589858,0.09301635
8.812216,0.2001545
9.051038,0.2149735
9.307115,0.2305065
9.58126,0.2467703
9.874304,0.2637817
10.187095,0.2815575
10.520502,0.3001145
10.875411,0.3194695
11.2527275,0.3396393
11.653375,0.3606407
12.078297,0.3824905
12.528453,0.4052055
13.004823,0.4288025
13.508408,0.4532983
14.040221,0.4787097
14.601302,0.5050535
15.192703,0.5323465
15.815498,0.5606055
16.47078,0.5898473
17.159657,0.6200887
17.883257,0.6513465
18.642733,0.6836375
19.439249,0.7169785
20.273987,0.7513863
21.148155,0.7868777
22.062975,0.8234695
24.607038,2.2900252
27.151104,2.2900252
29.238363,1.878835
32.32286,2.7764933
35.128277,2.52528
38.142727,2.71344
41.381138,2.91504
44.052578,2.40468
46.724014,2.40468
48.656773,1.73976
50.589527,1.73976
52.660397,1.86408
54.731262,1.86408
56.928577,1.9779
59.12589,1.9779
61.45525,2.09676
63.862995,2.16732
66.351,2.23956
68.92112,2.31348
71.575226,2.38908
74.315186,2.46636
77.14287,2.54532
80.06013,2.62596
83.06885,2.70828
