depth,T_ice
0.094405994,0.0
0.18119761,0.005554199
0.26798925,-0.42718506
0.35478085,-0.73861694
0.4415725,-1.0431213
0.5283641,-1.3387146
0.61515576,-1.6238403
0.70194733,-1.8974609
0.78873897,-2.1589966
0.8755306,-2.4082947
0.96232224,-2.6454773
1.0491139,-2.8708496
1.1359055,-3.0848083
1.2226971,-3.2879028
1.3094888,-3.4805603
1.3962803,-3.6633606
1.4830719,-3.8367004
1.5698636,-4.001068
1.6566552,-4.156891
1.7434468,-4.304535
1.8302385,-4.4443665
1.9170301,-4.576782
2.0038216,-4.702057
2.0906134,-4.820587
2.1774049,-4.932617
2.2641966,-5.0384827
2.3509881,-5.1384277
2.43778,-5.2326965
2.5245714,-5.321594
2.6113632,-5.405304
2.6981547,-5.48407
2.7849462,-5.5581055
2.871738,-5.6276245
2.9585295,-5.69281
3.0453212,-5.7538147
3.1321127,-5.8108215
3.2189045,-5.8640137
3.305696,-5.9135437
3.3924878,-5.959564
3.4792793,-6.002228
3.566071,-6.0416565
3.6528625,-6.078003
3.739654,-6.111389
3.8264458,-6.1419373
3.9132373,-6.1698
4.000029,-6.195038
4.0868206,-6.217804
4.173612,-6.23822
4.260404,-6.2563477
4.3471956,-6.272339
4.433987,-6.286255
4.5207787,-6.298218
4.60757,-6.308319
4.694362,-6.3166504
4.7811537,-6.3232727
4.867945,-6.328308
4.9547367,-6.3318176
5.0415287,-6.333893
5.12832,-6.3345947
5.2151117,-6.333954
5.3886952,-6.3311157
5.5622783,-6.3227844
5.7358613,-6.310425
5.909445,-6.2944946
6.083028,-6.2753906
6.2566113,-6.253479
6.603778,-6.216919
6.9509444,-6.160309
7.298111,-6.0979614
7.645277,-6.0316772
7.9924436,-5.9628906
8.33961,-5.892761
9.033943,-5.786865
9.728276,-5.6479797
10.422609,-5.5157776
11.116942,-5.3932495
11.8112755,-5.281708
12.505609,-5.181061
13.894274,-5.045105
15.28294,-4.897156
16.671606,-4.7778625
18.060272,-4.6819153
19.448938,-4.6016235
20.837605,-4.5176697
22.22627,-4.501526
25.003601,-4.417267
27.780933,-4.3500977
30.558266,-4.3027344
33.335598,-4.2691345
36.11293,-4.245453
38.890263,-4.2289124
41.667595,-4.217499
44.444927,-4.209778
47.222256,-4.2046204
49.999588,-4.201294
52.77692,-4.199188
55.554253,-4.197876
58.331585,-4.197113
61.108917,-4.1966553
63.88625,-4.1963806
