depth,density_bulk
0.059486076,868.6555
0.1489587,900.0
0.2384313,900.0
0.32790393,900.0
0.41737655,900.0
0.50684917,900.0
0.5739536,900.0
0.6410581,900.0
0.70816255,900.0
0.775267,900.0
0.8647396,900.0
0.95421225,900.0
1.0436848,900.0
1.1331575,900.0
1.2226301,900.0
1.3121027,900.0
1.4015753,900.0
1.491048,900.0
1.5805205,900.0
1.6699932,900.0
1.7594658,900.0
1.8489383,900.0
1.938411,900.0
2.0278835,900.0
2.1091862,900.0
2.1904888,900.0
2.2717915,900.0
2.3530939,900.0
2.4343965,900.0
2.5156991,900.0
2.5970016,900.0
2.6783042,900.0
2.7596068,900.0
2.8409095,900.0
2.922212,900.0
3.0035145,900.0
3.0848172,900.0
3.1661196,900.0
3.2474222,900.0
3.3287249,900.0
3.4100275,900.0
3.49133,900.0
3.5726326,900.0
3.6539352,900.0
3.7352376,900.0
3.8165402,900.0
3.897843,900.0
3.9791455,900.0
4.060448,900.0
4.1417503,900.0
4.223053,900.0
4.3043556,900.0
4.3856583,900.0
4.466961,900.0
4.629566,900.0
4.806752,900.0
4.983938,900.0
5.161124,900.0
5.3383107,900.0
5.5154967,900.0
5.6926827,900.0
6.0470552,900.0
6.4014273,900.0
6.7558,900.0
7.110172,900.0
7.4645443,900.0
7.8189163,900.0
8.173288,900.0
8.882033,900.0
9.590778,900.0
10.299522,900.0
11.338397,900.0
12.377273,900.0
13.424517,900.0
14.471761,900.0
15.519006,900.0
16.56625,900.0
18.819088,900.0
21.148447,900.0
23.556194,900.0
26.044195,900.0
28.614315,900.0
31.268423,900.0
34.008385,900.0
36.836063,900.0
39.046875,900.0
41.257687,900.0
43.398533,900.0
45.539375,900.0
48.316708,900.0
51.09404,900.0
53.871372,900.0
56.648705,900.0
59.426037,900.0
62.20337,900.0
64.9807,900.0
67.75803,900.0
70.53536,900.0
73.3127,900.0
76.09003,900.0
