depth,rhofirn
0.13009809,361.82883
0.31267285,421.96368
0.48206028,424.6849
0.62108976,452.12805
0.7241965,487.8378
0.82250816,489.731
0.9381429,494.4074
1.0737497,508.08075
1.20296,513.5702
1.3663152,524.5217
1.5245185,528.0077
1.6829888,536.466
1.7892258,543.858
1.8934427,545.50006
2.0072062,548.64514
2.1176412,550.36835
2.2828078,556.5115
2.4530828,564.5695
2.5876963,569.59973
2.7293134,572.7368
2.9523387,577.25775
3.1599088,581.7897
3.3430936,585.7995
3.498635,589.3602
3.7811193,593.944
3.9191887,599.10406
4.02725,602.07605
4.2166476,605.12445
4.385679,608.5037
4.5254846,611.8222
4.7478848,614.81934
4.863067,618.6935
4.97182,620.03485
5.1983685,622.27795
5.5207195,626.7613
5.621373,630.2884
5.7596354,631.88214
5.881628,633.6441
6.037625,635.4301
6.246864,638.1636
6.3893933,640.93
6.864938,644.0446
7.1722236,648.0321
7.3425484,650.68823
7.5476894,652.3584
7.905115,654.9102
8.174558,657.65717
8.395577,659.87177
8.566529,661.555
9.607585,679.02814
10.642221,678.9087
11.676651,679.41364
12.708152,679.601
14.855854,704.4551
17.003525,704.48584
18.242407,706.7813
18.673304,711.53265
19.082047,711.5811
20.665075,711.2032
20.789928,711.2214
20.913038,711.1669
21.040194,711.1178
21.290209,710.7332
22.329672,710.8995
22.605618,711.10126
22.895184,711.2922
23.531033,711.5342
23.878662,711.84827
24.247452,711.94543
24.637875,712.19135
25.049665,714.5694
25.484737,715.1678
25.94169,718.9965
26.42719,713.99255
26.935522,718.70825
30.647715,721.9574
33.255344,724.97644
35.933033,727.171
38.239155,729.5497
40.998283,745.63196
43.755516,746.14484
46.150867,739.8355
48.745872,760.56995
51.547447,784.7009
54.346653,785.36383
55.877117,783.8205
57.387897,822.1585
59.037018,779.7449
60.69069,804.6252
62.349094,830.1221
64.13442,797.4857
65.92777,820.90173
67.684746,866.06445
69.54198,846.5545
71.40674,870.96564
73.43284,827.7129
75.47508,861.2687
77.51694,861.42865
79.66643,857.4156
81.83809,875.2259
